model,technique,method,fscore_split
SVC,ordinary,ordinary,0.9909
LR,ordinary,ordinary,0.9909
KNN,ordinary,ordinary,0.9906
KNN,Undersampling,TomekLinks,0.9906
KNN,Undersampling,OneSidedSelection,0.9906
KNN,Undersampling,NeighbourhoodCleaningRule,0.9896
KNN,Undersampling,EditedNearestNeighbours,0.9892
KNN,Undersampling,CondensedNearestNeighbour,0.9892
KNN,Undersampling,AllKNN,0.9888
KNN,Undersampling,RepeatedEditedNearestNeighbours,0.988
DT,class_weight,class_weight,0.984
DT,Undersampling,OneSidedSelection,0.9837
DT,Oversampling,RandomOverSampler,0.9831
DT,Undersampling,TomekLinks,0.9829
DT,Undersampling,EditedNearestNeighbours,0.982
DT,Undersampling,NeighbourhoodCleaningRule,0.9814
DT,Undersampling,AllKNN,0.9812
DT,ordinary,ordinary,0.981
GNB,Undersampling,CondensedNearestNeighbour,0.9809
DT,Undersampling,RepeatedEditedNearestNeighbours,0.9794
DT,Oversampling,KMeansSMOTE,0.976
DT,Oversampling,SVMSMOTE,0.9747
DT,Oversampling,BorderlineSMOTE,0.9739
DT,Hybrid,SMOTETomek,0.9736
DT,Oversampling,SMOTE,0.9735
DT,Oversampling,ADASYN,0.9716
KNN,Oversampling,RandomOverSampler,0.9683
KNN,Undersampling,InstanceHardnessThreshold,0.967
KNN,Oversampling,SVMSMOTE,0.9662
KNN,Oversampling,BorderlineSMOTE,0.9645
DT,Hybrid,SMOTEENN,0.9628
KNN,Oversampling,KMeansSMOTE,0.9592
DT,Oversampling,SMOTENC,0.9549
GNB,ordinary,ordinary,0.9543
GNB,Undersampling,OneSidedSelection,0.9538
GNB,Undersampling,TomekLinks,0.9531
SVC,Oversampling,SVMSMOTE,0.9497
GNB,Undersampling,EditedNearestNeighbours,0.9497
GNB,Undersampling,NeighbourhoodCleaningRule,0.9496
GNB,Undersampling,AllKNN,0.9491
KNN,Hybrid,SMOTETomek,0.9481
GNB,Undersampling,RepeatedEditedNearestNeighbours,0.9479
KNN,Oversampling,SMOTE,0.9477
KNN,Oversampling,ADASYN,0.9475
DT,Undersampling,CondensedNearestNeighbour,0.9471
SVC,Oversampling,BorderlineSMOTE,0.9375
KNN,Hybrid,SMOTEENN,0.9307
KNN,Oversampling,SMOTENC,0.929
DT,Undersampling,InstanceHardnessThreshold,0.9267
SVC,Oversampling,KMeansSMOTE,0.9254
GNB,Oversampling,SVMSMOTE,0.9202
LR,Oversampling,SVMSMOTE,0.9172
GNB,Undersampling,InstanceHardnessThreshold,0.9168
SVC,Undersampling,CondensedNearestNeighbour,0.9118
LR,Undersampling,CondensedNearestNeighbour,0.9114
SVC,Hybrid,SMOTETomek,0.8897
SVC,Oversampling,SMOTE,0.8894
SVC,Oversampling,SMOTENC,0.8893
LR,Oversampling,BorderlineSMOTE,0.8891
SVC,Oversampling,ADASYN,0.8877
SVC,Hybrid,SMOTEENN,0.8834
LR,Oversampling,KMeansSMOTE,0.8798
SVC,Undersampling,OneSidedSelection,0.8789
SVC,Oversampling,RandomOverSampler,0.8767
KNN,Undersampling,ClusterCentroids,0.8756
GNB,Oversampling,BorderlineSMOTE,0.8688
SVC,Undersampling,RepeatedEditedNearestNeighbours,0.8632
SVC,class_weight,class_weight,0.863
SVC,Undersampling,TomekLinks,0.8629
SVC,Undersampling,AllKNN,0.8629
SVC,Undersampling,EditedNearestNeighbours,0.8621
SVC,Undersampling,NeighbourhoodCleaningRule,0.862
LR,Undersampling,ClusterCentroids,0.8559
LR,Oversampling,SMOTENC,0.8521
LR,Oversampling,RandomOverSampler,0.851
LR,Hybrid,SMOTETomek,0.8508
LR,class_weight,class_weight,0.8506
LR,Oversampling,SMOTE,0.8503
LR,Undersampling,OneSidedSelection,0.8501
LR,Undersampling,TomekLinks,0.8499
GNB,Undersampling,ClusterCentroids,0.8485
LR,Oversampling,ADASYN,0.8482
LR,Undersampling,EditedNearestNeighbours,0.8473
LR,Undersampling,NeighbourhoodCleaningRule,0.8467
LR,Undersampling,AllKNN,0.8466
LR,Undersampling,RepeatedEditedNearestNeighbours,0.8461
GNB,Oversampling,KMeansSMOTE,0.8457
GNB,Oversampling,RandomOverSampler,0.8439
LR,Hybrid,SMOTEENN,0.843
LR,Undersampling,RandomUnderSampler,0.8428
GNB,Undersampling,RandomUnderSampler,0.8423
SVC,Undersampling,ClusterCentroids,0.8413
SVC,Undersampling,RandomUnderSampler,0.8373
GNB,Oversampling,SMOTENC,0.8309
GNB,Oversampling,SMOTE,0.8284
GNB,Hybrid,SMOTETomek,0.8274
GNB,Hybrid,SMOTEENN,0.8264
GNB,Oversampling,ADASYN,0.8247
SVC,Undersampling,InstanceHardnessThreshold,0.8176
DT,Undersampling,RandomUnderSampler,0.8171
KNN,Undersampling,RandomUnderSampler,0.8128
LR,Undersampling,InstanceHardnessThreshold,0.7875
LR,Undersampling,NearMiss,0.6553
GNB,Undersampling,NearMiss,0.6472
KNN,Undersampling,NearMiss,0.5818
DT,Undersampling,ClusterCentroids,0.4716
SVC,Undersampling,NearMiss,0.4101
DT,Undersampling,NearMiss,0.3702
