,method,accuracy,precision,recall,fscore,n_occurences,predictions_count,tp,tn,fp,fn,auc
0,ordinary,0.9626728110599079,[0.98314673 0.07179487],[0.97876335 0.08917197],[0.98095014 0.07954545],[8523  157],"Counter({0: 8485, 1: 195})",14,8342,181,143,0.53396766038094
1,class_weight,0.9684331797235023,[0.98222846 0.03937008],[0.98568579 0.03184713],[0.98395409 0.03521127],[8523  157],"Counter({0: 8553, 1: 127})",5,8401,122,152,0.5087664625729854
2,RandomOverSampler,0.9668202764976959,[0.98208641 0.02877698],[0.98416051 0.02547771],[0.98312236 0.02702703],[8523  157],"Counter({0: 8541, 1: 139})",4.0,8388.0,135.0,153.0,0.5048191069350749
3,SMOTE,0.9485023041474654,[0.98324557 0.05246914],[0.96397982 0.10828025],[0.97351739 0.07068607],[8523  157],"Counter({0: 8356, 1: 324})",17.0,8216.0,307.0,140.0,0.5361300370447594
4,SMOTENC,0.9139400921658987,[0.98406375 0.04475309],[0.92737299 0.18471338],[0.95487768 0.07204969],[8523  157],"Counter({0: 8032, 1: 648})",29.0,7904.0,619.0,128.0,0.5560431832635707
5,BorderlineSMOTE,0.9493087557603687,[0.9832596  0.05362776],[0.96480113 0.10828025],[0.97394291 0.07172996],[8523  157],"Counter({0: 8363, 1: 317})",17.0,8223.0,300.0,140.0,0.5365406905705132
6,SVMSMOTE,0.9506912442396314,[0.98351451 0.06148867],[0.96597442 0.12101911],[0.97466556 0.08154506],[8523  157],"Counter({0: 8371, 1: 309})",19.0,8233.0,290.0,138.0,0.5434967652160396
7,KMeansSMOTE,0.9532258064516129,[0.98321229 0.0569395 ],[0.96890766 0.10191083],[0.97600756 0.07305936],[8523  157],"Counter({0: 8399, 1: 281})",16.0,8258.0,265.0,141.0,0.5354092448234862
8,ADASYN,0.9449308755760368,[0.98306713 0.04532578],[0.96045993 0.10191083],[0.97163205 0.0627451 ],[8523  157],"Counter({0: 8327, 1: 353})",16.0,8186.0,337.0,141.0,0.531185379987161
9,RandomUnderSampler,0.6943548387096774,[0.99063858 0.03743514],[0.69529508 0.6433121 ],[0.81709755 0.07075306],[8523  157],"Counter({0: 5982, 1: 2698})",101.0,5926.0,2597.0,56.0,0.6693035929007385
10,ClusterCentroids,0.32027649769585254,[0.99621642 0.02434984],[0.30892878 0.93630573],[0.47161025 0.04746529],[8523  157],"Counter({1: 6037, 0: 2643})",147.0,2633.0,5890.0,10.0,0.6226172567148764
11,NearMiss,0.23755760368663595,[0.97984887 0.01747573],[0.22820603 0.74522293],[0.37019414 0.03415061],[8523  157],"Counter({1: 6695, 0: 1985})",117.0,1945.0,6578.0,40.0,0.48671448033832765
12,InstanceHardnessThreshold,0.8646313364055299,[0.98999733 0.06937394],[0.87093746 0.52229299],[0.92665876 0.12247946],[8523  157],"Counter({0: 7498, 1: 1182})",82.0,7423.0,1100.0,75.0,0.6966152284825399
13,TomekLinks,0.9664746543778802,[0.98253224 0.05333333],[0.9833392  0.05095541],[0.98293555 0.05211726],[8523  157],"Counter({0: 8530, 1: 150})",8.0,8381.0,142.0,149.0,0.5171473069125058
14,CondensedNearestNeighbour,0.8998847926267282,[0.98504436 0.04936709],[0.91188549 0.24840764],[0.94705416 0.08236536],[8523  157],"Counter({0: 7890, 1: 790})",39.0,7772.0,751.0,118.0,0.580146564821603
15,AllKNN,0.9631336405529954,[0.98247265 0.04469274],[0.97993664 0.05095541],[0.98120301 0.04761905],[8523  157],"Counter({0: 8501, 1: 179})",8.0,8352.0,171.0,149.0,0.515446028020097
16,EditedNearestNeighbours,0.9647465437788019,[0.98261482 0.05389222],[0.98146193 0.05732484],[0.98203804 0.05555556],[8523  157],"Counter({0: 8513, 1: 167})",9.0,8365.0,158.0,148.0,0.5193933836580074
17,RepeatedEditedNearestNeighbours,0.9596774193548387,[0.9825245  0.04265403],[0.97629943 0.05732484],[0.97940207 0.04891304],[8523  157],"Counter({0: 8469, 1: 211})",9.0,8321.0,202.0,148.0,0.5168121329246976
18,OneSidedSelection,0.9678571428571429,[0.98255678 0.05797101],[0.98474715 0.05095541],[0.98365075 0.05423729],[8523  157],"Counter({0: 8542, 1: 138})",8.0,8393.0,130.0,149.0,0.5178512843852267
19,NeighbourhoodCleaningRule,0.963479262672811,[0.98304686 0.06989247],[0.97970198 0.08280255],[0.98137157 0.07580175],[8523  157],"Counter({0: 8494, 1: 186})",13.0,8350.0,173.0,144.0,0.531252265320291
20,SMOTEENN,0.9285714285714286,[0.98466822 0.06072106],[0.94192186 0.20382166],[0.96282082 0.09356725],[8523  157],"Counter({0: 8153, 1: 527})",32.0,8028.0,495.0,125.0,0.5728717572757417
21,SMOTETomek,0.9486175115207374,[0.98290087 0.04416404],[0.96444914 0.08917197],[0.97358759 0.05907173],[8523  157],"Counter({0: 8363, 1: 317})",14.0,8220.0,303.0,143.0,0.5268105560749443
