,method,accuracy,precision,recall,fscore,n_occurences,predictions_count,tp,tn,fp,fn,auc
0,ordinary,0.9130184331797235,[0.98562141 0.06158358],[0.92490907 0.26751592],[0.95430059 0.10011919],[8523  157],"Counter({0: 7998, 1: 682})",42,7883,640,115,0.5962124965716596
1,RandomOverSampler,0.7337557603686636,[0.9941139  0.05012531],[0.73319254 0.76433121],[0.84394625 0.09408075],[8523  157],"Counter({0: 6286, 1: 2394})",120.0,6249.0,2274.0,37.0,0.7487618740149359
2,SMOTE,0.7109447004608295,[0.99327428 0.04489164],[0.7104306 0.7388535],[0.82837403 0.08464064],[8523  157],"Counter({0: 6096, 1: 2584})",116.0,6055.0,2468.0,41.0,0.7246420513694304
3,SMOTENC,0.71463133640553,[0.99347045 0.04581049],[0.71406782 0.74522293],[0.83090996 0.08631501],[8523  157],"Counter({0: 6126, 1: 2554})",117.0,6086.0,2437.0,40.0,0.7296453732164223
4,BorderlineSMOTE,0.770852534562212,[0.99231465 0.0518591 ],[0.77261528 0.67515924],[0.86879082 0.09631985],[8523  157],"Counter({0: 6636, 1: 2044})",106.0,6585.0,1938.0,51.0,0.7238872559899738
5,SVMSMOTE,0.8535714285714285,[0.98933873 0.06141732],[0.86014314 0.49681529],[0.92022846 0.10932025],[8523  157],"Counter({0: 7410, 1: 1270})",78.0,7331.0,1192.0,79.0,0.6784792143551618
6,KMeansSMOTE,0.7361751152073732,[0.99303908 0.04790165],[0.73647777 0.71974522],[0.84572891 0.08982512],[8523  157],"Counter({0: 6321, 1: 2359})",113.0,6277.0,2246.0,44.0,0.728111494487378
7,ADASYN,0.7056451612903226,[0.99338624 0.04445289],[0.70491611 0.74522293],[0.82465171 0.08390104],[8523  157],"Counter({0: 6048, 1: 2632})",117.0,6008.0,2515.0,40.0,0.7250695196437367
8,RandomUnderSampler,0.7313364055299539,[0.99409417 0.04968944],[0.73072862 0.76433121],[0.84230457 0.0933126 ],[8523  157],"Counter({0: 6265, 1: 2415})",120.0,6228.0,2295.0,37.0,0.7475299134376746
9,ClusterCentroids,0.7404377880184332,[0.99354534 0.04982818],[0.74046697 0.7388535 ],[0.84853782 0.09336016],[8523  157],"Counter({0: 6352, 1: 2328})",116.0,6311.0,2212.0,41.0,0.7396602374541423
10,NearMiss,0.4826036866359447,[0.97908745 0.01542934],[0.48339786 0.43949045],[0.64723902 0.02981205],[8523  157],"Counter({1: 4472, 0: 4208})",69.0,4120.0,4403.0,88.0,0.4614441552307694
11,InstanceHardnessThreshold,0.8475806451612903,[0.98793711 0.05222734],[0.8552153  0.43312102],[0.91679769 0.09321453],[8523  157],"Counter({0: 7378, 1: 1302})",68.0,7289.0,1234.0,89.0,0.6441681594426769
12,TomekLinks,0.9108294930875576,[0.98558717 0.05991441],[0.92267981 0.26751592],[0.95309659 0.0979021 ],[8523  157],"Counter({0: 7979, 1: 701})",42.0,7864.0,659.0,115.0,0.5950978655731848
13,CondensedNearestNeighbour,0.9625576036866359,[0.98325867 0.07575758],[0.97852869 0.0955414 ],[0.98088797 0.08450704],[8523  157],"Counter({0: 8482, 1: 198})",15.0,8340.0,183.0,142.0,0.5370350441779493
14,AllKNN,0.9036866359447004,[0.9858425  0.05851756],[0.91505338 0.2866242 ],[0.94912985 0.09719222],[8523  157],"Counter({0: 7911, 1: 769})",45.0,7799.0,724.0,112.0,0.600838794390002
15,EditedNearestNeighbours,0.9047235023041474,[0.98573593 0.05804749],[0.91622668 0.28025478],[0.94971116 0.09617486],[8523  157],"Counter({0: 7922, 1: 758})",44.0,7809.0,714.0,113.0,0.59824072890814
16,RepeatedEditedNearestNeighbours,0.9014976958525346,[0.98580841 0.0571066 ],[0.91282412 0.2866242 ],[0.94791349 0.0952381 ],[8523  157],"Counter({0: 7892, 1: 788})",45.0,7780.0,743.0,112.0,0.5997241633915272
17,OneSidedSelection,0.9120967741935484,[0.98560701 0.06086957],[0.92397043 0.26751592],[0.95379398 0.09917355],[8523  157],"Counter({0: 7990, 1: 690})",42.0,7875.0,648.0,115.0,0.5957431782565125
18,NeighbourhoodCleaningRule,0.9044930875576037,[0.98573232 0.05789474],[0.91599202 0.28025478],[0.94958341 0.0959651 ],[8523  157],"Counter({0: 7920, 1: 760})",44.0,7807.0,716.0,113.0,0.598123399329353
19,SMOTEENN,0.7081797235023042,[0.99373558 0.0455241 ],[0.7072627  0.75796178],[0.82637604 0.08588957],[8523  157],"Counter({0: 6066, 1: 2614})",119.0,6028.0,2495.0,38.0,0.7326122421831971
20,SMOTETomek,0.7095622119815668,[0.99326101 0.04468413],[0.70902264 0.7388535 ],[0.82741152 0.0842717 ],[8523  157],"Counter({0: 6084, 1: 2596})",116.0,6043.0,2480.0,41.0,0.7239380738967095
