,method,accuracy,precision,recall,fscore,n_occurences,predictions_count,tp,tn,fp,fn,auc
0,ordinary,0.9814516129032258,[0.98201522 0.16666667],[0.99941335 0.00636943],[0.9906379  0.01226994],[8523  157],"Counter({0: 8674, 1: 6})",1,8518,5,156,0.5028913894288292
1,RandomOverSampler,0.938594470046083,[0.98237141 0.02763819],[0.95459345 0.07006369],[0.96828325 0.03963964],[8523  157],"Counter({0: 8282, 1: 398})",11.0,8136.0,387.0,146.0,0.5123285736385098
2,SMOTE,0.901036866359447,[0.98408287 0.04057592],[0.91399742 0.19745223],[0.94774621 0.06731813],[8523  157],"Counter({0: 7916, 1: 764})",31.0,7790.0,733.0,126.0,0.5557248240243148
3,SMOTENC,0.8679723502304147,[0.98462751 0.03741815],[0.87926786 0.25477707],[0.92896988 0.06525285],[8523  157],"Counter({0: 7611, 1: 1069})",40.0,7494.0,1029.0,117.0,0.5670224667460322
4,BorderlineSMOTE,0.9316820276497696,[0.98341868 0.04393305],[0.94638038 0.13375796],[0.9645441  0.06614173],[8523  157],"Counter({0: 8202, 1: 478})",21.0,8066.0,457.0,136.0,0.5400691721389331
5,SVMSMOTE,0.9347926267281106,[0.98335561 0.04454343],[0.94966561 0.12738854],[0.96621702 0.0660066 ],[8523  157],"Counter({0: 8231, 1: 449})",20.0,8094.0,429.0,137.0,0.5385270728661523
6,KMeansSMOTE,0.9217741935483871,[0.98336209 0.03886926],[0.93617271 0.14012739],[0.95918735 0.06085754],[8523  157],"Counter({0: 8114, 1: 566})",22.0,7979.0,544.0,135.0,0.538150048837503
7,ADASYN,0.9005760368663595,[0.98395249 0.03916449],[0.91364543 0.1910828 ],[0.9474965  0.06500542],[8523  157],"Counter({0: 7914, 1: 766})",30.0,7787.0,736.0,127.0,0.5523641162803384
8,RandomUnderSampler,0.6887096774193548,[0.9927205  0.04111071],[0.68802065 0.72611465],[0.81275121 0.0778157 ],[8523  157],"Counter({0: 5907, 1: 2773})",114.0,5864.0,2659.0,43.0,0.7070676498436976
9,ClusterCentroids,0.7809907834101383,[0.98993785 0.04630593],[0.78493488 0.56687898],[0.87559715 0.08561809],[8523  157],"Counter({0: 6758, 1: 1922})",89.0,6690.0,1833.0,68.0,0.6759069314877466
10,NearMiss,0.4161290322580645,[0.98026133 0.01691914],[0.41370409 0.5477707 ],[0.58184818 0.03282443],[8523  157],"Counter({1: 5083, 0: 3597})",86.0,3526.0,4997.0,71.0,0.4807373977196211
11,InstanceHardnessThreshold,0.9362903225806452,[0.98514731 0.0751073 ],[0.94943095 0.22292994],[0.96695943 0.11235955],[8523  157],"Counter({0: 8214, 1: 466})",35.0,8092.0,431.0,122.0,0.5861804439243082
12,TomekLinks,0.9813364055299539,[0.98201314 0.14285714],[0.99929602 0.00636943],[0.9905792  0.01219512],[8523  157],"Counter({0: 8673, 1: 7})",1.0,8517.0,6.0,156.0,0.5028327246394357
13,CondensedNearestNeighbour,0.9786866359447005,[0.98229986 0.11111111],[0.99624545 0.02547771],[0.98922351 0.04145078],[8523  157],"Counter({0: 8644, 1: 36})",4.0,8491.0,32.0,153.0,0.5108615802425956
14,AllKNN,0.9778801843317972,[0.98239722 0.11111111],[0.99530682 0.03184713],[0.98880988 0.04950495],[8523  157],"Counter({0: 8635, 1: 45})",5.0,8483.0,40.0,152.0,0.5135769753032446
15,EditedNearestNeighbours,0.9786866359447005,[0.9821883  0.08823529],[0.99636278 0.01910828],[0.98922477 0.03141361],[8523  157],"Counter({0: 8646, 1: 34})",3.0,8492.0,31.0,154.0,0.5077355316561929
16,RepeatedEditedNearestNeighbours,0.9763824884792627,[0.9824826 0.1      ],[0.9936642  0.03821656],[0.98804177 0.05529954],[8523  157],"Counter({0: 8620, 1: 60})",6.0,8469.0,54.0,151.0,0.5159403816275331
17,OneSidedSelection,0.9813364055299539,[0.98201314 0.14285714],[0.99929602 0.00636943],[0.9905792  0.01219512],[8523  157],"Counter({0: 8673, 1: 7})",1.0,8517.0,6.0,156.0,0.5028327246394357
18,NeighbourhoodCleaningRule,0.9793778801843318,[0.98231214 0.13333333],[0.99694943 0.02547771],[0.98957666 0.04278075],[8523  157],"Counter({0: 8650, 1: 30})",4.0,8497.0,26.0,153.0,0.5112135689789561
19,SMOTEENN,0.8709677419354839,[0.98480681 0.03923445],[0.8822011 0.2611465],[0.93068449 0.06821963],[8523  157],"Counter({0: 7635, 1: 1045})",41.0,7519.0,1004.0,116.0,0.5716737998566636
20,SMOTETomek,0.9016129032258065,[0.98397072 0.03963012],[0.9147014 0.1910828],[0.94807248 0.06564551],[8523  157],"Counter({0: 7923, 1: 757})",30.0,7796.0,727.0,127.0,0.5528920993848792
