,method,accuracy,precision,recall,fscore,n_occurences,predictions_count,tp,tn,fp,fn,auc
0,ordinary,0.9819124423963134,[0.98191244 0.        ],[1. 0.],[0.99087368 0.        ],[8523  157],Counter({0: 8680}),0,8523,0,157,0.5
1,class_weight,0.743778801843318,[0.99512655 0.05433376],[0.74269623 0.80254777],[0.8505778  0.10177706],[8523  157],"Counter({0: 6361, 1: 2319})",126,6330,2193,31,0.772622002210579
2,RandomOverSampler,0.7444700460829493,[0.99513114 0.05447471],[0.74340021 0.80254777],[0.85104097 0.10202429],[8523  157],"Counter({0: 6367, 1: 2313})",126.0,6336.0,2187.0,31.0,0.7729739909469394
3,SMOTE,0.7433179723502304,[0.99496776 0.0538561 ],[0.74234424 0.79617834],[0.85028894 0.10088781],[8523  157],"Counter({0: 6359, 1: 2321})",125.0,6327.0,2196.0,32.0,0.7692612944666026
4,SMOTENC,0.7459677419354839,[0.9949859  0.05439513],[0.74504283 0.79617834],[0.85206307 0.10183299],[8523  157],"Counter({0: 6382, 1: 2298})",125.0,6350.0,2173.0,32.0,0.770610584622651
5,BorderlineSMOTE,0.8029953917050692,[0.99376721 0.06400898],[0.80441159 0.72611465],[0.88911944 0.11764706],[8523  157],"Counter({0: 6899, 1: 1781})",114.0,6856.0,1667.0,43.0,0.7652631209219563
6,SVMSMOTE,0.8488479262672811,[0.99194979 0.07253886],[0.85298604 0.62420382],[0.91723442 0.12997347],[8523  157],"Counter({0: 7329, 1: 1351})",98.0,7270.0,1253.0,59.0,0.7385949297180877
7,KMeansSMOTE,0.7882488479262673,[0.99423333 0.06155451],[0.78892409 0.75159236],[0.87975926 0.11378978],[8523  157],"Counter({0: 6763, 1: 1917})",118.0,6724.0,1799.0,39.0,0.7702582222252116
8,ADASYN,0.7402073732718893,[0.9949463 0.0532368],[0.73917635 0.79617834],[0.84819926 0.0998004 ],[8523  157],"Counter({0: 6332, 1: 2348})",125.0,6300.0,2223.0,32.0,0.7676773451529806
9,RandomUnderSampler,0.7322580645161291,[0.99536519 0.05282707],[0.73072862 0.81528662],[0.84276049 0.09922481],[8523  157],"Counter({0: 6257, 1: 2423})",128.0,6228.0,2295.0,29.0,0.7730076204440439
10,ClusterCentroids,0.7516129032258064,[0.99410213 0.05319624],[0.75149595 0.75796178],[0.85594013 0.0994152 ],[8523  157],"Counter({0: 6443, 1: 2237})",119.0,6405.0,2118.0,38.0,0.7547288677845112
11,NearMiss,0.4934331797235023,[0.9872461  0.02316689],[0.49043764 0.65605096],[0.65532649 0.04475342],[8523  157],"Counter({1: 4446, 0: 4234})",103.0,4180.0,4343.0,54.0,0.5732442973714438
12,InstanceHardnessThreshold,0.6549539170506913,[0.9962298 0.0437299],[0.65106183 0.86624204],[0.78748315 0.08325681],[8523  157],"Counter({0: 5570, 1: 3110})",136.0,5549.0,2974.0,21.0,0.7586519354522906
13,TomekLinks,0.742741935483871,[0.99511965 0.05412371],[0.74164027 0.80254777],[0.84988235 0.10140845],[8523  157],"Counter({0: 6352, 1: 2328})",126.0,6321.0,2202.0,31.0,0.7720940191060384
14,CondensedNearestNeighbour,0.8391705069124424,[0.9930815  0.07364074],[0.84207439 0.68152866],[0.91136508 0.13291925],[8523  157],"Counter({0: 7227, 1: 1453})",107.0,7177.0,1346.0,50.0,0.7618015246866664
15,AllKNN,0.7379032258064516,[0.99508716 0.05316456],[0.73671243 0.80254777],[0.84662577 0.09972299],[8523  157],"Counter({0: 6310, 1: 2370})",126.0,6279.0,2244.0,31.0,0.7696300979515153
16,EditedNearestNeighbours,0.7389400921658986,[0.99509416 0.05336722],[0.73776839 0.80254777],[0.84732516 0.10007943],[8523  157],"Counter({0: 6319, 1: 2361})",126.0,6288.0,2235.0,31.0,0.7701580810560558
17,RepeatedEditedNearestNeighbours,0.7370967741935484,[0.99508171 0.05300799],[0.73589112 0.80254777],[0.84608121 0.09944751],[8523  157],"Counter({0: 6303, 1: 2377})",126.0,6272.0,2251.0,31.0,0.7692194444257614
18,OneSidedSelection,0.7430875576036866,[0.99527782 0.05457671],[0.74187493 0.8089172 ],[0.85009411 0.10225443],[8523  157],"Counter({0: 6353, 1: 2327})",127.0,6323.0,2200.0,30.0,0.7753960620606213
19,NeighbourhoodCleaningRule,0.7380184331797235,[0.99524489 0.0535639 ],[0.73671243 0.8089172 ],[0.84668285 0.10047468],[8523  157],"Counter({0: 6309, 1: 2371})",127.0,6279.0,2244.0,30.0,0.7728148113273114
20,SMOTEENN,0.7326036866359447,[0.99505109 0.05215232],[0.73131526 0.80254777],[0.8430378  0.09794015],[8523  157],"Counter({0: 6264, 1: 2416})",126.0,6233.0,2290.0,31.0,0.7669315176394186
21,SMOTETomek,0.7440092165898617,[0.99497251 0.05399568],[0.74304822 0.79617834],[0.85075228 0.10113269],[8523  157],"Counter({0: 6365, 1: 2315})",125.0,6333.0,2190.0,32.0,0.7696132832029631
