,method,accuracy,precision,recall,fscore,n_occurences,predictions_count,tp,tn,fp,fn,auc
0,ordinary,0.9819124423963134,[0.98191244 0.        ],[1. 0.],[0.99087368 0.        ],[8523  157],Counter({0: 8680}),0,8523,0,157,0.5
1,class_weight,0.7619815668202765,[0.99207438 0.04955168],[0.76369823 0.66878981],[0.86303368 0.09226714],[8523  157],"Counter({0: 6561, 1: 2119})",105,6509,2014,52,0.716244018620279
2,RandomOverSampler,0.7828341013824884,[0.99083112 0.04953076],[0.78610818 0.60509554],[0.87667648 0.09156627],[8523  157],"Counter({0: 6762, 1: 1918})",95.0,6700.0,1823.0,62.0,0.6956018596364577
3,SMOTE,0.8028801843317972,[0.98993096 0.05034722],[0.80746216 0.55414013],[0.88943457 0.09230769],[8523  157],"Counter({0: 6952, 1: 1728})",87.0,6882.0,1641.0,70.0,0.6808011442996882
4,SMOTENC,0.8024193548387096,[0.98879954 0.0460373 ],[0.80793148 0.50318471],[0.88926196 0.08435665],[8523  157],"Counter({0: 6964, 1: 1716})",79.0,6886.0,1637.0,78.0,0.6555580964508925
5,BorderlineSMOTE,0.8831797235023041,[0.98778745 0.06408952],[0.89205679 0.40127389],[0.93748459 0.11052632],[8523  157],"Counter({0: 7697, 1: 983})",63.0,7603.0,920.0,94.0,0.6466653364332257
6,SVMSMOTE,0.9048387096774193,[0.98672063 0.06727038],[0.91540537 0.33121019],[0.94972611 0.11182796],[8523  157],"Counter({0: 7907, 1: 773})",52.0,7802.0,721.0,105.0,0.6233077823887555
7,KMeansSMOTE,0.8623271889400922,[0.98840309 0.05942275],[0.86999883 0.44585987],[0.92542902 0.10486891],[8523  157],"Counter({0: 7502, 1: 1178})",70.0,7415.0,1108.0,87.0,0.6579293496578386
8,ADASYN,0.8001152073732719,[0.98989607 0.04965753],[0.80464625 0.55414013],[0.88770953 0.0911472 ],[8523  157],"Counter({0: 6928, 1: 1752})",87.0,6858.0,1665.0,70.0,0.6793931893542463
9,RandomUnderSampler,0.7241935483870968,[0.99467312 0.0498994 ],[0.72298486 0.78980892],[0.83734203 0.09386828],[8523  157],"Counter({0: 6195, 1: 2485})",124.0,6162.0,2361.0,33.0,0.7563968908408943
10,ClusterCentroids,0.7299539170506912,[0.9943991  0.05018511],[0.729086   0.77707006],[0.84132142 0.0942813 ],[8523  157],"Counter({0: 6249, 1: 2431})",122.0,6214.0,2309.0,35.0,0.7530780331377591
11,NearMiss,0.2669354838709677,[0.9770318  0.01636534],[0.25953303 0.66878981],[0.4101233  0.03194888],[8523  157],"Counter({1: 6416, 0: 2264})",105.0,2212.0,6311.0,52.0,0.4641614185968129
12,InstanceHardnessThreshold,0.6959677419354838,[0.99478641 0.04608632],[0.69400446 0.80254777],[0.81761006 0.08716707],[8523  157],"Counter({0: 5946, 1: 2734})",126.0,5915.0,2608.0,31.0,0.7482761146123155
13,TomekLinks,0.7617511520737327,[0.99207196 0.04950495],[0.76346357 0.66878981],[0.86288291 0.09218613],[8523  157],"Counter({0: 6559, 1: 2121})",105.0,6507.0,2016.0,52.0,0.7161266890414921
14,CondensedNearestNeighbour,0.8397465437788019,[0.99199779 0.06913408],[0.84359967 0.63057325],[0.91180014 0.12460667],[8523  157],"Counter({0: 7248, 1: 1432})",99.0,7190.0,1333.0,58.0,0.7370864599424114
15,AllKNN,0.7617511520737327,[0.99222205 0.04992935],[0.76334624 0.67515924],[0.86286472 0.09298246],[8523  157],"Counter({0: 6557, 1: 2123})",106.0,6506.0,2017.0,51.0,0.7192527376278948
16,EditedNearestNeighbours,0.7605990783410138,[0.99251108 0.05053814],[0.76193828 0.68789809],[0.86207354 0.09415867],[8523  157],"Counter({0: 6543, 1: 2137})",108.0,6494.0,2029.0,49.0,0.7249181869067662
17,RepeatedEditedNearestNeighbours,0.7622119815668202,[0.99192688 0.04917258],[0.76405022 0.66242038],[0.86320255 0.0915493 ],[8523  157],"Counter({0: 6565, 1: 2115})",104.0,6512.0,2011.0,53.0,0.7132352996126629
18,OneSidedSelection,0.7864055299539171,[0.99159664 0.05271481],[0.78915875 0.63694268],[0.87887103 0.09737098],[8523  157],"Counter({0: 6783, 1: 1897})",100.0,6726.0,1797.0,57.0,0.7130507110396671
19,NeighbourhoodCleaningRule,0.7603686635944701,[0.99220779 0.04964871],[0.76193828 0.67515924],[0.86195912 0.09249564],[8523  157],"Counter({0: 6545, 1: 2135})",106.0,6494.0,2029.0,51.0,0.7185487601551739
20,SMOTEENN,0.7933179723502304,[0.98995194 0.04853833],[0.79760648 0.56050955],[0.8834308 0.0893401],[8523  157],"Counter({0: 6867, 1: 1813})",88.0,6798.0,1725.0,69.0,0.6790580153664382
21,SMOTETomek,0.8033410138248848,[0.98979592 0.04994193],[0.80804881 0.5477707 ],[0.88973581 0.09153805],[8523  157],"Counter({0: 6958, 1: 1722})",86.0,6887.0,1636.0,71.0,0.6779097548708589
