model,technique,method,fscore_split
LR,ordinary,ordinary,0.92816939
SVC,ordinary,ordinary,0.92614195
KNN,ordinary,ordinary,0.91590432
KNN,Undersampling,OneSidedSelection,0.9111233
KNN,Undersampling,TomekLinks,0.91103642
SVC,Oversampling,KMeansSMOTE,0.8963
DT,class_weight,class_weight,0.88244448
KNN,Undersampling,NeighbourhoodCleaningRule,0.8822583
KNN,Undersampling,EditedNearestNeighbours,0.88209032
DT,ordinary,ordinary,0.88190775
KNN,Undersampling,CondensedNearestNeighbour,0.88107952
DT,Oversampling,RandomOverSampler,0.8800
DT,Undersampling,OneSidedSelection,0.87946812
DT,Undersampling,TomekLinks,0.87881604
DT,Oversampling,SMOTE,0.8787
DT,Oversampling,SVMSMOTE,0.8771
DT,Oversampling,KMeansSMOTE,0.8769
DT,Hybrid,SMOTETomek,0.8768
DT,Oversampling,BorderlineSMOTE,0.8761
DT,Oversampling,ADASYN,0.8754
LR,Oversampling,KMeansSMOTE,0.8723
DT,Oversampling,SMOTENC,0.8715
SVC,Undersampling,CondensedNearestNeighbour,0.87068966
KNN,Undersampling,AllKNN,0.8690325
LR,Oversampling,SVMSMOTE,0.8688
LR,Undersampling,CondensedNearestNeighbour,0.86866692
DT,Undersampling,NeighbourhoodCleaningRule,0.8603768
GNB,ordinary,ordinary,0.85996531
GNB,Undersampling,CondensedNearestNeighbour,0.85853288
GNB,Undersampling,OneSidedSelection,0.85653657
DT,Undersampling,EditedNearestNeighbours,0.85643676
GNB,Undersampling,TomekLinks,0.85566932
GNB,Oversampling,SVMSMOTE,0.8556
KNN,Oversampling,KMeansSMOTE,0.8500
KNN,Undersampling,RepeatedEditedNearestNeighbours,0.84939109
SVC,Oversampling,SVMSMOTE,0.8491
KNN,Oversampling,SVMSMOTE,0.8444
DT,Undersampling,AllKNN,0.84193573
GNB,Undersampling,NeighbourhoodCleaningRule,0.83607196
LR,Oversampling,SMOTENC,0.8347
LR,Oversampling,BorderlineSMOTE,0.8341
GNB,Undersampling,EditedNearestNeighbours,0.83361921
DT,Hybrid,SMOTEENN,0.8328
LR,Oversampling,SMOTE,0.8312
SVC,Oversampling,SMOTENC,0.8311
LR,Hybrid,SMOTETomek,0.8305
LR,Oversampling,RandomOverSampler,0.8304
LR,class_weight,class_weight,0.82892951
LR,Undersampling,RandomUnderSampler,0.8280326
GNB,Undersampling,AllKNN,0.82583386
DT,Undersampling,RepeatedEditedNearestNeighbours,0.82476506
LR,Undersampling,TomekLinks,0.82435146
LR,Undersampling,OneSidedSelection,0.82435146
GNB,Undersampling,RandomUnderSampler,0.82353874
SVC,Oversampling,SMOTE,0.8232
SVC,Hybrid,SMOTETomek,0.8223
GNB,Oversampling,RandomOverSampler,0.8214
SVC,Oversampling,BorderlineSMOTE,0.8196
KNN,Oversampling,RandomOverSampler,0.8171
GNB,Undersampling,RepeatedEditedNearestNeighbours,0.81650501
LR,Oversampling,ADASYN,0.8161
KNN,Oversampling,BorderlineSMOTE,0.8159
DT,Undersampling,CondensedNearestNeighbour,0.81290323
KNN,Oversampling,SMOTENC,0.8101
KNN,Oversampling,SMOTE,0.8087
SVC,Oversampling,RandomOverSampler,0.8068
KNN,Hybrid,SMOTETomek,0.8063
SVC,Undersampling,TomekLinks,0.80387648
SVC,class_weight,class_weight,0.80368149
SVC,Undersampling,OneSidedSelection,0.8034834
KNN,Undersampling,ClusterCentroids,0.8009539
LR,Undersampling,NeighbourhoodCleaningRule,0.80019782
SVC,Undersampling,EditedNearestNeighbours,0.79953765
KNN,Oversampling,ADASYN,0.7990
LR,Undersampling,EditedNearestNeighbours,0.79838043
SVC,Hybrid,SMOTEENN,0.7980
LR,Undersampling,ClusterCentroids,0.79787928
SVC,Undersampling,AllKNN,0.79702233
SVC,Oversampling,ADASYN,0.7964
SVC,Undersampling,NeighbourhoodCleaningRule,0.79546019
SVC,Undersampling,RandomUnderSampler,0.79462954
LR,Hybrid,SMOTEENN,0.7935
KNN,Undersampling,RandomUnderSampler,0.78984555
LR,Undersampling,AllKNN,0.7863891
GNB,Hybrid,SMOTETomek,0.7862
GNB,Oversampling,BorderlineSMOTE,0.7840
GNB,Oversampling,SMOTE,0.7840
GNB,Hybrid,SMOTEENN,0.7831
SVC,Undersampling,RepeatedEditedNearestNeighbours,0.78225061
SVC,Undersampling,ClusterCentroids,0.77200033
GNB,Oversampling,SMOTENC,0.7664
LR,Undersampling,RepeatedEditedNearestNeighbours,0.76633123
GNB,Oversampling,KMeansSMOTE,0.7628
GNB,Oversampling,ADASYN,0.7596
DT,Undersampling,RandomUnderSampler,0.75755048
KNN,Hybrid,SMOTEENN,0.7570
GNB,Undersampling,ClusterCentroids,0.72434996
GNB,Undersampling,InstanceHardnessThreshold,0.71298183
KNN,Undersampling,NearMiss,0.68712094
KNN,Undersampling,InstanceHardnessThreshold,0.68555189
SVC,Undersampling,InstanceHardnessThreshold,0.61994974
LR,Undersampling,InstanceHardnessThreshold,0.61577263
DT,Undersampling,InstanceHardnessThreshold,0.61037699
GNB,Undersampling,NearMiss,0.59143076
LR,Undersampling,NearMiss,0.5904245
SVC,Undersampling,NearMiss,0.56106719
DT,Undersampling,NearMiss,0.54592704
DT,Undersampling,ClusterCentroids,0.37686024
