,method,accuracy,precision,recall,fscore,n_occurences,predictions_count,tp,tn,fp,fn,auc
0,ordinary,0.7986609860012173,[0.89042676 0.30101642],[0.87355021 0.33624454],[0.88190775 0.31765677],[7070 1145],"Counter({0: 6936, 1: 1279})",385,6176,894,760,0.6048973768243948
1,class_weight,0.7976871576384662,[0.88256933 0.27462947],[0.88231966 0.27510917],[0.88244448 0.27486911],[7070 1145],"Counter({0: 7068, 1: 1147})",315,6238,832,830,0.5787144154215795
2,RandomOverSampler,0.7948874010955569,[0.88635385 0.28330658],[0.87369165 0.30829694],[0.87997721 0.29527394],[7070 1145],"Counter({0: 6969, 1: 1246})",353.0,6177.0,893.0,792.0,0.5909942990556074
3,SMOTE,0.7940353012781497,[0.89072944 0.29482371],[0.86704385 0.34323144],[0.87872706 0.31719128],[7070 1145],"Counter({0: 6882, 1: 1333})",393.0,6130.0,940.0,752.0,0.605137644144951
4,SMOTENC,0.7832014607425442,[0.88964196 0.27731092],[0.85403112 0.34585153],[0.8714729  0.30781189],[7070 1145],"Counter({0: 6787, 1: 1428})",396.0,6038.0,1032.0,749.0,0.5999413228908668
5,BorderlineSMOTE,0.7898965307364577,[0.88927739 0.28497409],[0.86336634 0.33624454],[0.87613033 0.30849359],[7070 1145],"Counter({0: 6864, 1: 1351})",385.0,6104.0,966.0,760.0,0.5998054390591898
6,SVMSMOTE,0.7909920876445526,[0.88784234 0.28234399],[0.86661952 0.32401747],[0.87710257 0.30174868],[7070 1145],"Counter({0: 6901, 1: 1314})",371.0,6127.0,943.0,774.0,0.5953184931718375
7,KMeansSMOTE,0.7911138161898965,[0.88966521 0.28773234],[0.86449788 0.33799127],[0.876901   0.31084337],[7070 1145],"Counter({0: 6870, 1: 1345})",387.0,6112.0,958.0,758.0,0.6012445723674051
8,ADASYN,0.7880706025562995,[0.88576806 0.27217125],[0.86534653 0.31091703],[0.87543822 0.29025683],[7070 1145],"Counter({0: 6907, 1: 1308})",356.0,6118.0,952.0,789.0,0.5881317826105755
9,RandomUnderSampler,0.6462568472306756,[0.92351505 0.23310094],[0.64214993 0.67161572],[0.75755048 0.34608461],[7070 1145],"Counter({0: 4916, 1: 3299})",769.0,4540.0,2530.0,376.0,0.6568828249013298
10,ClusterCentroids,0.3220937309799148,[0.90198179 0.15154379],[0.23818953 0.84017467],[0.37686024 0.25677299],[7070 1145],"Counter({1: 6348, 0: 1867})",962.0,1684.0,5386.0,183.0,0.5391821028640605
11,NearMiss,0.44698721850273887,[0.93049404 0.1782197 ],[0.38628006 0.82183406],[0.54592704 0.29291829],[7070 1145],"Counter({1: 5280, 0: 2935})",941.0,2731.0,4339.0,204.0,0.6040570588562287
12,InstanceHardnessThreshold,0.5118685331710287,[0.97486034 0.21309834],[0.44427157 0.92925764],[0.61037699 0.34669273],[7070 1145],"Counter({1: 4993, 0: 3222})",1064.0,3141.0,3929.0,81.0,0.6867646059677708
13,TomekLinks,0.7936701156421181,[0.88853549 0.28813559],[0.86930693 0.32663755],[0.87881604 0.30618093],[7070 1145],"Counter({0: 6917, 1: 1298})",374.0,6146.0,924.0,771.0,0.597972242639111
14,CondensedNearestNeighbour,0.7034692635423007,[0.88941176 0.21501104],[0.74851485 0.42532751],[0.81290323 0.2856305 ],[7070 1145],"Counter({0: 5950, 1: 2265})",487.0,5292.0,1778.0,658.0,0.5869211812010896
15,AllKNN,0.7491174680462569,[0.91958452 0.29608192],[0.77637907 0.58078603],[0.84193573 0.39221469],[7070 1145],"Counter({0: 5969, 1: 2246})",665.0,5489.0,1581.0,480.0,0.6785825463394748
16,EditedNearestNeighbours,0.766646378575776,[0.91007481 0.30020704],[0.80876945 0.50655022],[0.85643676 0.37699058],[7070 1145],"Counter({0: 6283, 1: 1932})",580.0,5718.0,1352.0,565.0,0.65765983335701
17,RepeatedEditedNearestNeighbours,0.7298843578819233,[0.93366708 0.29519451],[0.73861386 0.67598253],[0.82476506 0.41093709],[7070 1145],"Counter({0: 5593, 1: 2622})",774.0,5222.0,1848.0,371.0,0.7072981970686151
18,OneSidedSelection,0.794765672550213,[0.88912981 0.29144179],[0.87001414 0.330131  ],[0.87946812 0.30958231],[7070 1145],"Counter({0: 6918, 1: 1297})",378.0,6151.0,919.0,767.0,0.600072574319191
19,NeighbourhoodCleaningRule,0.7717589774802192,[0.90847618 0.30334052],[0.81711457 0.49170306],[0.8603768  0.37520826],[7070 1145],"Counter({0: 6359, 1: 1856})",563.0,5777.0,1293.0,582.0,0.6544088126841381
20,SMOTEENN,0.7375532562385879,[0.92173018 0.28840519],[0.75954738 0.60174672],[0.83281638 0.38992643],[7070 1145],"Counter({0: 5826, 1: 2389})",689.0,5370.0,1700.0,456.0,0.6806470541002947
21,SMOTETomek,0.7909920876445526,[0.8899898  0.28846154],[0.86393211 0.34061135],[0.87676739 0.31237485],[7070 1145],"Counter({0: 6863, 1: 1352})",390.0,6108.0,962.0,755.0,0.6022717306041272
