,method,accuracy,precision,recall,fscore,n_occurences,predictions_count,tp,tn,fp,fn,auc
0,ordinary,0.773950091296409,[0.92101438 0.32411067],[0.80650636 0.57292576],[0.85996531 0.41401073],[7070 1145],"Counter({0: 6191, 1: 2024})",656,5702,1368,489,0.6897160645571732
1,RandomOverSampler,0.7268411442483262,[0.93936635 0.29820051],[0.72970297 0.70917031],[0.82136602 0.41985522],[7070 1145],"Counter({0: 5492, 1: 2723})",812.0,5159.0,1911.0,333.0,0.7194366379869428
2,SMOTE,0.6836275106512477,[0.9506148  0.27658267],[0.66704385 0.7860262 ],[0.78397473 0.40918391],[7070 1145],"Counter({0: 4961, 1: 3254})",900.0,4716.0,2354.0,245.0,0.7265350240576148
3,SMOTENC,0.6639074863055386,[0.9538656  0.26701269],[0.64045262 0.80873362],[0.76635356 0.40147409],[7070 1145],"Counter({0: 4747, 1: 3468})",926.0,4528.0,2542.0,219.0,0.7245931205721945
4,BorderlineSMOTE,0.6838709677419355,[0.95136226 0.27730061],[0.66676096 0.78951965],[0.78403326 0.41044268],[7070 1145],"Counter({0: 4955, 1: 3260})",904.0,4714.0,2356.0,241.0,0.7281403062327443
5,SVMSMOTE,0.7694461351186853,[0.92819325 0.32749885],[0.79349364 0.6209607 ],[0.8555742  0.42882992],[7070 1145],"Counter({0: 6044, 1: 2171})",711.0,5610.0,1460.0,434.0,0.7072271668838749
6,KMeansSMOTE,0.6602556299452221,[0.95550351 0.26606026],[0.63479491 0.81746725],[0.76281125 0.40145829],[7070 1145],"Counter({0: 4697, 1: 3518})",936.0,4488.0,2582.0,209.0,0.7261310784852659
7,ADASYN,0.6567255021302495,[0.95581296 0.2642837 ],[0.63026874 0.82008734],[0.75963178 0.39974457],[7070 1145],"Counter({0: 4662, 1: 3553})",939.0,4456.0,2614.0,206.0,0.7251780387021859
8,RandomUnderSampler,0.72915398660986,[0.93735331 0.29820628],[0.73437058 0.69694323],[0.82353874 0.4176917 ],[7070 1145],"Counter({0: 5539, 1: 2676})",798.0,5192.0,1878.0,347.0,0.7156569056780911
9,ClusterCentroids,0.6180158247108947,[0.95572554 0.24455268],[0.58316832 0.83318777],[0.72434996 0.37812128],[7070 1145],"Counter({0: 4314, 1: 3901})",954.0,4123.0,2947.0,191.0,0.7081780448787237
10,NearMiss,0.4799756542909312,[0.91317188 0.17622696],[0.43734088 0.74323144],[0.59143076 0.28490124],[7070 1145],"Counter({1: 4829, 0: 3386})",851.0,3092.0,3978.0,294.0,0.5902861589964361
11,InstanceHardnessThreshold,0.6057212416311625,[0.9544484 0.23825  ],[0.56902405 0.83231441],[0.71298183 0.37045675],[7070 1145],"Counter({0: 4215, 1: 4000})",953.0,4023.0,3047.0,192.0,0.7006692278710093
12,TomekLinks,0.7683505782105904,[0.92248569 0.31952381],[0.79787836 0.5860262 ],[0.85566932 0.41355932],[7070 1145],"Counter({0: 6115, 1: 2100})",671.0,5641.0,1429.0,474.0,0.6919522800689302
13,CondensedNearestNeighbour,0.7734631771150334,[0.92801972 0.33192488],[0.79872702 0.61746725],[0.85853288 0.43175573],[7070 1145],"Counter({0: 6085, 1: 2130})",707.0,5647.0,1423.0,438.0,0.7080971322334979
14,AllKNN,0.7304930006086428,[0.93034385 0.29226584],[0.74243281 0.65676856],[0.82583386 0.40451856],[7070 1145],"Counter({0: 5642, 1: 2573})",752.0,5249.0,1821.0,393.0,0.6996006868310038
15,EditedNearestNeighbours,0.7402312842361534,[0.92876998 0.29890199],[0.75615276 0.6419214 ],[0.83361921 0.40788013],[7070 1145],"Counter({0: 5756, 1: 2459})",735.0,5346.0,1724.0,410.0,0.6990370777564344
16,RepeatedEditedNearestNeighbours,0.7190505173463178,[0.93228032 0.28518655],[0.72630835 0.67423581],[0.81650501 0.40083074],[7070 1145],"Counter({0: 5508, 1: 2707})",772.0,5135.0,1935.0,373.0,0.7002720764902443
17,OneSidedSelection,0.7695678636640292,[0.92261224 0.32105263],[0.79929279 0.5860262 ],[0.85653657 0.41483771],[7070 1145],"Counter({0: 6125, 1: 2090})",671.0,5651.0,1419.0,474.0,0.6926594936474307
18,NeighbourhoodCleaningRule,0.743761412051126,[0.93016808 0.30360065],[0.7592645  0.64803493],[0.83607196 0.41348565],[7070 1145],"Counter({0: 5771, 1: 2444})",742.0,5368.0,1702.0,403.0,0.7036497161880879
19,SMOTEENN,0.6819233110164333,[0.94757984 0.27317676],[0.66732673 0.7720524 ],[0.78313553 0.40356083],[7070 1145],"Counter({0: 4979, 1: 3236})",884.0,4718.0,2352.0,261.0,0.7196895672099961
20,SMOTETomek,0.6859403530127814,[0.94917967 0.27696612],[0.67100424 0.77816594],[0.78621147 0.4085282 ],[7070 1145],"Counter({0: 4998, 1: 3217})",891.0,4744.0,2326.0,254.0,0.7245850910730499
