,method,accuracy,precision,recall,fscore,n_occurences,predictions_count,tp,tn,fp,fn,auc
0,ordinary,0.8489348752282411,[0.87914661 0.40909091],[0.95586987 0.18864629],[0.91590432 0.25821877],[7070 1145],"Counter({0: 7687, 1: 528})",216,6758,312,929,0.5722580804555814
1,RandomOverSampler,0.7151552038953134,[0.91331702 0.26032892],[0.73917963 0.56681223],[0.81707317 0.35678944],[7070 1145],"Counter({0: 5722, 1: 2493})",649.0,5226.0,1844.0,496.0,0.6529959296615876
2,SMOTE,0.7068776628119294,[0.92228261 0.26567718],[0.72008487 0.62532751],[0.80873709 0.37291667],[7070 1145],"Counter({0: 5520, 1: 2695})",716.0,5091.0,1979.0,429.0,0.6727061882732253
3,SMOTENC,0.7090687766281193,[0.92437432 0.2695298 ],[0.72093352 0.63580786],[0.81007629 0.37857514],[7070 1145],"Counter({0: 5514, 1: 2701})",728.0,5097.0,1973.0,417.0,0.6783706910928149
4,BorderlineSMOTE,0.715642118076689,[0.92117438 0.27052023],[0.73224894 0.61310044],[0.81591805 0.37540107],[7070 1145],"Counter({0: 5620, 1: 2595})",702.0,5177.0,1893.0,443.0,0.6726746879304275
5,SVMSMOTE,0.7511868533171029,[0.91413975 0.2906381 ],[0.78458274 0.54497817],[0.84442076 0.37910085],[7070 1145],"Counter({0: 6068, 1: 2147})",624.0,5547.0,1523.0,521.0,0.6647804549637746
6,KMeansSMOTE,0.7592209373097991,[0.91614907 0.30138293],[0.79278642 0.55196507],[0.85001517 0.38988279],[7070 1145],"Counter({0: 6118, 1: 2097})",632.0,5605.0,1465.0,513.0,0.672375743500738
7,ADASYN,0.6951917224589166,[0.92387672 0.25980912],[0.70381895 0.6419214 ],[0.79897238 0.36990438],[7070 1145],"Counter({0: 5386, 1: 2829})",735.0,4976.0,2094.0,410.0,0.6728701753519084
8,RandomUnderSampler,0.6886183810103469,[0.94217954 0.27304851],[0.67991513 0.74235808],[0.78984555 0.39924847],[7070 1145],"Counter({0: 5102, 1: 3113})",850.0,4807.0,2263.0,295.0,0.7111366064866
9,ClusterCentroids,0.6951917224589166,[0.91433757 0.24879852],[0.7125884  0.58777293],[0.8009539  0.34961039],[7070 1145],"Counter({0: 5510, 1: 2705})",673.0,5038.0,2032.0,472.0,0.6501806637307522
10,NearMiss,0.572976262933658,[0.92998551 0.20991898],[0.54483734 0.74672489],[0.68712094 0.32771177],[7070 1145],"Counter({0: 4142, 1: 4073})",855.0,3852.0,3218.0,290.0,0.6457811158533197
11,InstanceHardnessThreshold,0.5824710894704809,[0.97420532 0.23897647],[0.52885431 0.91353712],[0.68555189 0.37884824],[7070 1145],"Counter({1: 4377, 0: 3838})",1046.0,3739.0,3331.0,99.0,0.7211957159533795
12,TomekLinks,0.8421180766889835,[0.88440538 0.39235127],[0.93932107 0.2419214 ],[0.91103642 0.29929768],[7070 1145],"Counter({0: 7509, 1: 706})",277.0,6641.0,429.0,868.0,0.5906212361722759
13,CondensedNearestNeighbour,0.7993913572732806,[0.89938126 0.32375613],[0.86350778 0.40349345],[0.88107952 0.3592535 ],[7070 1145],"Counter({0: 6788, 1: 1427})",462.0,6105.0,965.0,683.0,0.6335006145655114
14,AllKNN,0.7866098600121728,[0.92098179 0.34      ],[0.82263083 0.56419214],[0.8690325  0.42430213],[7070 1145],"Counter({0: 6315, 1: 1900})",646.0,5816.0,1254.0,499.0,0.6934114871250069
15,EditedNearestNeighbours,0.8038953134510043,[0.9139997  0.35635018],[0.8523338  0.50480349],[0.88209032 0.41778099],[7070 1145],"Counter({0: 6593, 1: 1622})",578.0,6026.0,1044.0,567.0,0.6785686491294171
16,RepeatedEditedNearestNeighbours,0.7621424223980523,[0.93326558 0.32496755],[0.77934936 0.6558952 ],[0.84939109 0.43460648],[7070 1145],"Counter({0: 5904, 1: 2311})",751.0,5510.0,1560.0,394.0,0.7176222800071648
17,OneSidedSelection,0.8422398052343274,[0.88431842 0.39260313],[0.93960396 0.24104803],[0.9111233 0.2987013],[7070 1145],"Counter({0: 7512, 1: 703})",276.0,6643.0,427.0,869.0,0.5903259976652687
18,NeighbourhoodCleaningRule,0.8040170419963482,[0.91338583 0.3556797 ],[0.85318246 0.50043668],[0.8822583  0.41582003],[7070 1145],"Counter({0: 6604, 1: 1611})",573.0,6032.0,1038.0,572.0,0.6768095711629804
19,SMOTEENN,0.6525867315885575,[0.95081266 0.25854761],[0.62885431 0.79912664],[0.75702367 0.39069172],[7070 1145],"Counter({0: 4676, 1: 3539})",915.0,4446.0,2624.0,230.0,0.713990475778707
20,SMOTETomek,0.7043213633597079,[0.92445583 0.26637555],[0.71485149 0.63930131],[0.80625349 0.37605959],[7070 1145],"Counter({0: 5467, 1: 2748})",732.0,5054.0,2016.0,413.0,0.6770763975960914
