,method,accuracy,precision,recall,fscore,n_occurences,predictions_count,tp,tn,fp,fn,auc
0,ordinary,0.8695069993913572,[0.88184365 0.60110803],[0.97963225 0.18951965],[0.92816939 0.28818061],[7070 1145],"Counter({0: 7854, 1: 361})",217,6926,144,928,0.5845759497971007
1,class_weight,0.7391357273280584,[0.95143852 0.31907179],[0.73437058 0.76855895],[0.82892951 0.45093518],[7070 1145],"Counter({0: 5457, 1: 2758})",880,5192,1878,265,0.7514647659400999
2,RandomOverSampler,0.7409616555082167,[0.95091241 0.3202925 ],[0.73705799 0.7650655 ],[0.83043825 0.45154639],[7070 1145],"Counter({0: 5480, 1: 2735})",876.0,5211.0,1859.0,269.0,0.7510617468484215
3,SMOTE,0.7421789409616555,[0.95232006 0.32251003],[0.73734088 0.7720524 ],[0.83115434 0.45496655],[7070 1145],"Counter({0: 5474, 1: 2741})",884.0,5213.0,1857.0,261.0,0.754696639345781
4,SMOTENC,0.745830797321972,[0.9476995  0.32214259],[0.74582744 0.74585153],[0.83473168 0.44994731],[7070 1145],"Counter({0: 5564, 1: 2651})",854.0,5273.0,1797.0,291.0,0.7458394841355627
5,BorderlineSMOTE,0.7457090687766281,[0.95076923 0.32453532],[0.74299859 0.76244541],[0.83414053 0.45528031],[7070 1145],"Counter({0: 5525, 1: 2690})",873.0,5253.0,1817.0,272.0,0.7527220002100022
6,SVMSMOTE,0.7894096165550821,[0.93627451 0.36038186],[0.81046676 0.65938865],[0.86884003 0.46604938],[7070 1145],"Counter({0: 6120, 1: 2095})",755.0,5730.0,1340.0,390.0,0.73492770362501
7,KMeansSMOTE,0.7929397443700548,[0.92958873 0.35859613],[0.82164074 0.61572052],[0.87228771 0.45323047],[7070 1145],"Counter({0: 6249, 1: 1966})",705.0,5809.0,1261.0,440.0,0.7186806297597944
8,ADASYN,0.7239196591600731,[0.95594379 0.30959647],[0.71202263 0.79737991],[0.81614786 0.44601856],[7070 1145],"Counter({0: 5266, 1: 2949})",913.0,5034.0,2036.0,232.0,0.7547012717491338
9,RandomUnderSampler,0.7380401704199635,[0.95168993 0.31829664],[0.73281471 0.77030568],[0.8280326  0.45045965],[7070 1145],"Counter({0: 5444, 1: 2771})",882.0,5181.0,1889.0,263.0,0.751560193449164
10,ClusterCentroids,0.6983566646378576,[0.94238921 0.27966942],[0.69179632 0.73886463],[0.79787928 0.4057554 ],[7070 1145],"Counter({0: 5190, 1: 3025})",846.0,4891.0,2179.0,299.0,0.7153304756551763
11,NearMiss,0.48557516737674983,[0.93780788 0.18985303],[0.43083451 0.82358079],[0.5904245 0.3085733],[7070 1145],"Counter({1: 4967, 0: 3248})",943.0,3046.0,4024.0,202.0,0.6272076490244158
12,InstanceHardnessThreshold,0.5178332318928789,[0.97993208 0.2170418 ],[0.44893918 0.94323144],[0.61577263 0.35288352],[7070 1145],"Counter({1: 4976, 0: 3239})",1080.0,3174.0,3896.0,65.0,0.6960853103401419
13,TomekLinks,0.7337796713329275,[0.95372607 0.3161609 ],[0.72588402 0.78253275],[0.82435146 0.45036441],[7070 1145],"Counter({0: 5381, 1: 2834})",896.0,5132.0,1938.0,249.0,0.7542083840324144
14,CondensedNearestNeighbour,0.789531345100426,[0.93814602 0.36226415],[0.80876945 0.67074236],[0.86866692 0.4704441 ],[7070 1145],"Counter({0: 6095, 1: 2120})",768.0,5718.0,1352.0,377.0,0.7397559032260057
15,AllKNN,0.6889835666463786,[0.96156205 0.28790614],[0.66520509 0.83580786],[0.7863891  0.42828373],[7070 1145],"Counter({0: 4891, 1: 3324})",957.0,4703.0,2367.0,188.0,0.750506476099887
16,EditedNearestNeighbours,0.7029823493609252,[0.96005564 0.29657556],[0.68330976 0.82445415],[0.79838043 0.43622921],[7070 1145],"Counter({0: 5032, 1: 3183})",944.0,4831.0,2239.0,201.0,0.7538819540094996
17,RepeatedEditedNearestNeighbours,0.6664637857577602,[0.96499141 0.2759202 ],[0.63550212 0.85764192],[0.76633123 0.41751701],[7070 1145],"Counter({0: 4656, 1: 3559})",982.0,4493.0,2577.0,163.0,0.7465720215190577
18,OneSidedSelection,0.7337796713329275,[0.95372607 0.3161609 ],[0.72588402 0.78253275],[0.82435146 0.45036441],[7070 1145],"Counter({0: 5381, 1: 2834})",896.0,5132.0,1938.0,249.0,0.7542083840324144
19,NeighbourhoodCleaningRule,0.7049300060864273,[0.95890952 0.29717729],[0.68656294 0.81834061],[0.80019782 0.43601675],[7070 1145],"Counter({0: 5062, 1: 3153})",937.0,4854.0,2216.0,208.0,0.7524517766810992
20,SMOTEENN,0.6971393791844187,[0.96004016 0.29242658],[0.67623762 0.82620087],[0.79352697 0.43196347],[7070 1145],"Counter({0: 4980, 1: 3235})",946.0,4781.0,2289.0,199.0,0.7512192485624107
21,SMOTETomek,0.7412051125989044,[0.95158933 0.32105071],[0.73677511 0.76855895],[0.83051658 0.45290787],[7070 1145],"Counter({0: 5474, 1: 2741})",880.0,5209.0,1861.0,265.0,0.7526670290235512
