,method,accuracy,precision,recall,fscore,n_occurences,predictions_count,tp,tn,fp,fn,auc
0,ordinary,0.8628119293974437,[0.86286482 0.84615385],[0.99943423 0.01921397],[0.92614195 0.03757472],[7070 1145],"Counter({0: 8189, 1: 26})",22,7066,4,1123,0.509324101468163
1,class_weight,0.7091905051734632,[0.95901157 0.30038511],[0.69165488 0.81746725],[0.80368149 0.43933349],[7070 1145],"Counter({0: 5099, 1: 3116})",936,4890,2180,209,0.7545610643409942
2,RandomOverSampler,0.7128423615337797,[0.95817934 0.30253741],[0.69674682 0.81222707],[0.80681353 0.44086276],[7070 1145],"Counter({0: 5141, 1: 3074})",930.0,4926.0,2144.0,215.0,0.7544869458873522
3,SMOTE,0.7324406573341449,[0.9541387  0.31532796],[0.72390382 0.78515284],[0.82322664 0.44994995],[7070 1145],"Counter({0: 5364, 1: 2851})",899.0,5118.0,1952.0,246.0,0.7545283286906358
4,SMOTENC,0.7412051125989044,[0.94782609 0.31799629],[0.74002829 0.74847162],[0.83113582 0.44635417],[7070 1145],"Counter({0: 5520, 1: 2695})",857.0,5232.0,1838.0,288.0,0.744249952131832
5,BorderlineSMOTE,0.7276932440657334,[0.95363244 0.31094183],[0.718529   0.78427948],[0.81955312 0.44532606],[7070 1145],"Counter({0: 5327, 1: 2888})",898.0,5080.0,1990.0,247.0,0.7514042358696256
6,SVMSMOTE,0.7643335362142423,[0.94550503 0.33876885],[0.77057992 0.72576419],[0.84912718 0.46192329],[7070 1145],"Counter({0: 5762, 1: 2453})",831.0,5448.0,1622.0,314.0,0.7481720536370543
7,KMeansSMOTE,0.8220328667072428,[0.89920273 0.36691856],[0.89335219 0.38165939],[0.89626792 0.37414384],[7070 1145],"Counter({0: 7024, 1: 1191})",437.0,6316.0,754.0,708.0,0.6375057905041909
8,ADASYN,0.699939135727328,[0.9569359  0.29219144],[0.68203678 0.81048035],[0.79643241 0.4295302 ],[7070 1145],"Counter({0: 5039, 1: 3176})",928.0,4822.0,2248.0,217.0,0.7462585622255302
9,RandomUnderSampler,0.6983566646378576,[0.95956765 0.29294812],[0.67807638 0.82358079],[0.79462954 0.43217232],[7070 1145],"Counter({0: 4996, 1: 3219})",943.0,4794.0,2276.0,202.0,0.7508285825463394
10,ClusterCentroids,0.6685331710286062,[0.94602914 0.26391382],[0.65205092 0.77030568],[0.77200033 0.39313573],[7070 1145],"Counter({0: 4873, 1: 3342})",882.0,4610.0,2460.0,263.0,0.7111782981167737
11,NearMiss,0.4592818015824711,[0.93081967 0.18083253],[0.40155587 0.81572052],[0.56106719 0.29603803],[7070 1145],"Counter({1: 5165, 0: 3050})",934.0,2839.0,4231.0,211.0,0.6086381969450844
12,InstanceHardnessThreshold,0.5213633597078515,[0.97893773 0.21785787],[0.45360679 0.93973799],[0.61994974 0.35371466],[7070 1145],"Counter({1: 4939, 0: 3276})",1076.0,3207.0,3863.0,69.0,0.6966723902583646
13,TomekLinks,0.709312233718807,[0.95848022 0.30009649],[0.69222065 0.81484716],[0.80387648 0.43864598],[7070 1145],"Counter({0: 5106, 1: 3109})",933.0,4894.0,2176.0,212.0,0.7535339061042725
14,CondensedNearestNeighbour,0.7918441874619598,[0.93548911 0.36293062],[0.81428571 0.65327511],[0.87068966 0.46662508],[7070 1145],"Counter({0: 6154, 1: 2061})",748.0,5757.0,1313.0,397.0,0.7337804117280099
15,AllKNN,0.7012781497261108,[0.95976096 0.29514867],[0.681471   0.82358079],[0.79702233 0.43456221],[7070 1145],"Counter({0: 5020, 1: 3195})",943.0,4818.0,2252.0,202.0,0.7525258951347411
16,EditedNearestNeighbours,0.7044430919050517,[0.9603332 0.2978254],[0.68486563 0.82532751],[0.79953765 0.43770264],[7070 1145],"Counter({0: 5042, 1: 3173})",945.0,4842.0,2228.0,200.0,0.7550965701685578
17,RepeatedEditedNearestNeighbours,0.6846013390139988,[0.96376061 0.28647372],[0.6582744  0.84716157],[0.78225061 0.42816155],[7070 1145],"Counter({0: 4829, 1: 3386})",970.0,4654.0,2416.0,175.0,0.75271798546043
18,OneSidedSelection,0.7088253195374316,[0.95844767 0.29971089],[0.69165488 0.81484716],[0.8034834  0.43823391],[7070 1145],"Counter({0: 5102, 1: 3113})",933.0,4890.0,2180.0,212.0,0.753251020672872
19,NeighbourhoodCleaningRule,0.6994522215459525,[0.960008   0.29402614],[0.67906648 0.82532751],[0.79546019 0.43358568],[7070 1145],"Counter({0: 5001, 1: 3214})",945.0,4801.0,2269.0,200.0,0.752196994496705
20,SMOTEENN,0.7023737066342057,[0.959285   0.29559748],[0.68316832 0.8209607 ],[0.79801735 0.43468208],[7070 1145],"Counter({0: 5035, 1: 3180})",940.0,4830.0,2240.0,205.0,0.7520645077608198
21,SMOTETomek,0.7311016433353621,[0.95336691 0.31359495],[0.72291372 0.78165939],[0.82229909 0.4476119 ],[7070 1145],"Counter({0: 5361, 1: 2854})",895.0,5111.0,1959.0,250.0,0.7522865542948556
