model,technique,method,fscore_split
LR,ordinary,ordinary,0.9742
DT,Oversampling,RandomOverSampler,0.9736
DT,Undersampling,OneSidedSelection,0.9736
DT,Undersampling,TomekLinks,0.973
DT,class_weight,class_weight,0.9726
DT,Undersampling,EditedNearestNeighbours,0.972
DT,ordinary,ordinary,0.9712
KNN,ordinary,ordinary,0.9705
DT,Undersampling,NeighbourhoodCleaningRule,0.97
KNN,Undersampling,TomekLinks,0.9694
KNN,Undersampling,OneSidedSelection,0.9694
DT,Undersampling,AllKNN,0.9693
SVC,ordinary,ordinary,0.9688
DT,Undersampling,RepeatedEditedNearestNeighbours,0.9686
DT,Oversampling,SVMSMOTE,0.9648
DT,Oversampling,KMeansSMOTE,0.9646
SVC,Undersampling,CondensedNearestNeighbour,0.9638
KNN,Undersampling,NeighbourhoodCleaningRule,0.9628
GNB,ordinary,ordinary,0.9623
GNB,Undersampling,TomekLinks,0.962
GNB,Undersampling,OneSidedSelection,0.962
KNN,Undersampling,EditedNearestNeighbours,0.961
DT,Hybrid,SMOTETomek,0.9601
DT,Oversampling,BorderlineSMOTE,0.9595
DT,Oversampling,SMOTE,0.9591
DT,Oversampling,SMOTENC,0.9589
GNB,Undersampling,NeighbourhoodCleaningRule,0.9587
GNB,Undersampling,EditedNearestNeighbours,0.9583
KNN,Undersampling,CondensedNearestNeighbour,0.9576
KNN,Undersampling,AllKNN,0.9574
GNB,Undersampling,AllKNN,0.9574
GNB,Undersampling,RepeatedEditedNearestNeighbours,0.9564
DT,Oversampling,ADASYN,0.9553
GNB,Undersampling,CondensedNearestNeighbour,0.9537
KNN,Undersampling,RepeatedEditedNearestNeighbours,0.952
DT,Hybrid,SMOTEENN,0.9471
SVC,Oversampling,SVMSMOTE,0.9439
KNN,Undersampling,InstanceHardnessThreshold,0.9428
DT,Undersampling,CondensedNearestNeighbour,0.9347
SVC,class_weight,class_weight,0.9325
SVC,Undersampling,TomekLinks,0.9319
SVC,Undersampling,OneSidedSelection,0.9319
SVC,Undersampling,RandomUnderSampler,0.9299
GNB,Undersampling,RandomUnderSampler,0.9279
SVC,Oversampling,RandomOverSampler,0.9278
SVC,Undersampling,EditedNearestNeighbours,0.9274
SVC,Undersampling,NeighbourhoodCleaningRule,0.9273
SVC,Undersampling,AllKNN,0.9269
KNN,Oversampling,RandomOverSampler,0.9255
SVC,Oversampling,SMOTENC,0.9244
GNB,Oversampling,RandomOverSampler,0.9239
SVC,Undersampling,RepeatedEditedNearestNeighbours,0.9229
SVC,Oversampling,SMOTE,0.9208
SVC,Hybrid,SMOTETomek,0.9199
DT,Undersampling,InstanceHardnessThreshold,0.9154
KNN,Oversampling,SVMSMOTE,0.9146
KNN,Oversampling,KMeansSMOTE,0.9139
SVC,Oversampling,KMeansSMOTE,0.9132
SVC,Hybrid,SMOTEENN,0.906
LR,Undersampling,CondensedNearestNeighbour,0.9057
DT,Undersampling,RandomUnderSampler,0.9044
KNN,Oversampling,BorderlineSMOTE,0.9041
GNB,Oversampling,ADASYN,0.9025
GNB,Oversampling,BorderlineSMOTE,0.8987
GNB,Oversampling,SMOTE,0.8957
GNB,Oversampling,SMOTENC,0.8949
LR,Oversampling,KMeansSMOTE,0.8947
GNB,Hybrid,SMOTETomek,0.8945
SVC,Oversampling,BorderlineSMOTE,0.8927
KNN,Oversampling,SMOTENC,0.8909
LR,Undersampling,OneSidedSelection,0.89
KNN,Oversampling,SMOTE,0.8889
GNB,Hybrid,SMOTEENN,0.8872
GNB,Oversampling,SVMSMOTE,0.8872
LR,Oversampling,SMOTE,0.8864
LR,Oversampling,RandomOverSampler,0.8863
LR,Undersampling,TomekLinks,0.886
KNN,Hybrid,SMOTETomek,0.8855
LR,Oversampling,SVMSMOTE,0.8852
LR,Oversampling,SMOTENC,0.885
LR,class_weight,class_weight,0.8843
GNB,Undersampling,InstanceHardnessThreshold,0.8836
SVC,Oversampling,ADASYN,0.8834
LR,Hybrid,SMOTETomek,0.8833
LR,Undersampling,NeighbourhoodCleaningRule,0.8826
LR,Undersampling,RandomUnderSampler,0.8813
LR,Undersampling,AllKNN,0.8768
SVC,Undersampling,InstanceHardnessThreshold,0.8765
LR,Undersampling,EditedNearestNeighbours,0.8758
LR,Undersampling,RepeatedEditedNearestNeighbours,0.8755
LR,Hybrid,SMOTEENN,0.875
GNB,Oversampling,KMeansSMOTE,0.8723
KNN,Oversampling,ADASYN,0.8707
LR,Oversampling,BorderlineSMOTE,0.8657
LR,Oversampling,ADASYN,0.8549
KNN,Hybrid,SMOTEENN,0.8399
KNN,Undersampling,RandomUnderSampler,0.8363
LR,Undersampling,InstanceHardnessThreshold,0.8144
LR,Undersampling,ClusterCentroids,0.8074
KNN,Undersampling,ClusterCentroids,0.7169
DT,Undersampling,NearMiss,0.7107
LR,Undersampling,NearMiss,0.6875
SVC,Undersampling,NearMiss,0.5915
DT,Undersampling,ClusterCentroids,0.5807
KNN,Undersampling,NearMiss,0.5263
GNB,Undersampling,ClusterCentroids,0.5105
GNB,Undersampling,NearMiss,0.4941
SVC,Undersampling,ClusterCentroids,0.4018
