,method,accuracy,precision,recall,fscore,n_occurences,predictions_count,tp,tn,fp,fn,auc
0,ordinary,0.9468392783363173,[0.97428999 0.62521891],[0.96821153 0.67485822],[0.97124125 0.64909091],[6732  529],"Counter({0: 6690, 1: 571})",357,6518,214,172,0.821534875048719
1,class_weight,0.9491805536427489,[0.97224284 0.65267176],[0.97296494 0.64650284],[0.97260376 0.64957265],[6732  529],"Counter({0: 6737, 1: 524})",342,6550,182,187,0.8097338895459656
2,RandomOverSampler,0.9509709406417849,[0.97271649 0.66731141],[0.97445039 0.65217391],[0.97358267 0.65965583],[6732  529],"Counter({0: 6744, 1: 517})",345.0,6560.0,172.0,184.0,0.8133121496292852
3,SMOTE,0.925354634347886,[0.97527641 0.49132176],[0.94340463 0.69565217],[0.95907581 0.57589984],[6732  529],"Counter({0: 6512, 1: 749})",368.0,6351.0,381.0,161.0,0.8195284042470743
4,SMOTENC,0.9250791901941882,[0.97585358 0.49011858],[0.94251337 0.70321361],[0.95889376 0.57763975],[6732  529],"Counter({0: 6502, 1: 759})",372.0,6345.0,387.0,157.0,0.8228634897849844
5,BorderlineSMOTE,0.9260432447321305,[0.97573337 0.49466667],[0.94370172 0.70132325],[0.95945028 0.58014073],[6732  529],"Counter({0: 6511, 1: 750})",371.0,6353.0,379.0,158.0,0.8225124872656288
6,SVMSMOTE,0.935546068034706,[0.97729351 0.54363376],[0.95261438 0.71833648],[0.96479615 0.61889251],[6732  529],"Counter({0: 6562, 1: 699})",380.0,6413.0,319.0,149.0,0.8354754315084572
7,KMeansSMOTE,0.9349951797273103,[0.97438618 0.54298643],[0.95499109 0.6805293 ],[0.96459115 0.60402685],[6732  529],"Counter({0: 6598, 1: 663})",360.0,6429.0,303.0,169.0,0.8177601939555681
8,ADASYN,0.9187439746591378,[0.97568154 0.4621118 ],[0.93568033 0.70321361],[0.95526236 0.55772114],[6732  529],"Counter({0: 6456, 1: 805})",372.0,6299.0,433.0,157.0,0.8194469716625838
9,RandomUnderSampler,0.8359730064729376,[0.98393013 0.28450521],[0.83674985 0.82608696],[0.90439111 0.42324455],[6732  529],"Counter({0: 5725, 1: 1536})",437.0,5633.0,1099.0,92.0,0.8314184039887365
10,ClusterCentroids,0.44938713675802233,[0.98786581 0.11101144],[0.41117053 0.93572779],[0.5806587  0.19847634],[6732  529],"Counter({1: 4459, 0: 2802})",495.0,2768.0,3964.0,34.0,0.6734491585486804
11,NearMiss,0.5800853876876463,[0.98346023 0.13499421],[0.55644682 0.88090737],[0.71074851 0.23411203],[6732  529],"Counter({0: 3809, 1: 3452})",466.0,3746.0,2986.0,63.0,0.7186770967767298
12,InstanceHardnessThreshold,0.8534637102327504,[0.98427888 0.31014904],[0.85561497 0.82608696],[0.91544819 0.45098039],[6732  529],"Counter({0: 5852, 1: 1409})",437.0,5760.0,972.0,92.0,0.8408509648918856
13,TomekLinks,0.9498691640269935,[0.97338686 0.65420561],[0.97251931 0.66162571],[0.97295289 0.65789474],[6732  529],"Counter({0: 6726, 1: 535})",350.0,6547.0,185.0,179.0,0.8170725098196465
14,CondensedNearestNeighbour,0.8841757333700592,[0.97886523 0.35945946],[0.89438503 0.75425331],[0.93472017 0.48688225],[6732  529],"Counter({0: 6151, 1: 1110})",399.0,6021.0,711.0,130.0,0.8243191674332562
15,AllKNN,0.9433962264150944,[0.97490609 0.59735974],[0.9637552  0.68431002],[0.96929857 0.63788546],[6732  529],"Counter({0: 6655, 1: 606})",362.0,6488.0,244.0,167.0,0.8240326089764541
16,EditedNearestNeighbours,0.9480787770279576,[0.97361753 0.63768116],[0.97029115 0.66540643],[0.97195149 0.65124884],[6732  529],"Counter({0: 6709, 1: 552})",352.0,6532.0,200.0,177.0,0.8178487869914536
17,RepeatedEditedNearestNeighbours,0.942156727723454,[0.97587455 0.58664547],[0.96137849 0.69754253],[0.96857228 0.6373057 ],[6732  529],"Counter({0: 6632, 1: 629})",369.0,6472.0,260.0,160.0,0.8294605119357704
18,OneSidedSelection,0.9509709406417849,[0.97355912 0.66351607],[0.97355912 0.66351607],[0.97355912 0.66351607],[6732  529],"Counter({0: 6732, 1: 529})",351.0,6554.0,178.0,178.0,0.818537594335437
19,NeighbourhoodCleaningRule,0.9447734471835836,[0.97608663 0.60457516],[0.96405229 0.69943289],[0.97003214 0.6485539 ],[6732  529],"Counter({0: 6649, 1: 612})",370.0,6490.0,242.0,159.0,0.8317425899156133
20,SMOTEENN,0.904834044897397,[0.97800285 0.41401274],[0.91800357 0.73724008],[0.94705387 0.53025153],[6732  529],"Counter({0: 6319, 1: 942})",390.0,6180.0,552.0,139.0,0.8276218203383776
21,SMOTETomek,0.927007299270073,[0.97357972 0.49929874],[0.9469697  0.67296786],[0.96009036 0.57326892],[6732  529],"Counter({0: 6548, 1: 713})",356.0,6375.0,357.0,173.0,0.8099687804319184
