,method,accuracy,precision,recall,fscore,n_occurences,predictions_count,tp,tn,fp,fn,auc
0,ordinary,0.930312629114447,[0.96462687 0.52049911],[0.96004159 0.55198488],[0.96232877 0.53577982],[6732  529],"Counter({0: 6700, 1: 561})",292,6463,269,237,0.7560132347605938
1,RandomOverSampler,0.865720975072304,[0.9739832  0.31228956],[0.87863933 0.70132325],[0.92385787 0.4321491 ],[6732  529],"Counter({0: 6073, 1: 1188})",371.0,5915.0,817.0,158.0,0.7899812929697284
2,SMOTE,0.8210990221732544,[0.97482958 0.25      ],[0.82843137 0.72778828],[0.89568779 0.37216046],[6732  529],"Counter({0: 5721, 1: 1540})",385.0,5577.0,1155.0,144.0,0.7781098261610883
3,SMOTENC,0.819997245558463,[0.97546012 0.25      ],[0.82664884 0.73534972],[0.89491035 0.37314149],[6732  529],"Counter({0: 5705, 1: 1556})",389.0,5565.0,1167.0,140.0,0.7809992789004242
4,BorderlineSMOTE,0.8257815727861176,[0.97497828 0.25564409],[0.83348188 0.72778828],[0.89869464 0.37837838],[6732  529],"Counter({0: 5755, 1: 1506})",385.0,5611.0,1121.0,144.0,0.7806350786863409
5,SVMSMOTE,0.808015424872607,[0.97474208 0.23611959],[0.81402258 0.731569  ],[0.88716205 0.35701107],[6732  529],"Counter({0: 5622, 1: 1639})",387.0,5480.0,1252.0,142.0,0.7727957884190509
6,KMeansSMOTE,0.7847403938851398,[0.96948229 0.20558087],[0.79278075 0.68241966],[0.87227262 0.31597374],[6732  529],"Counter({0: 5505, 1: 1756})",361.0,5337.0,1395.0,168.0,0.7376002041992257
7,ADASYN,0.83184134416747,[0.97533207 0.2636612 ],[0.83986928 0.72967864],[0.90254609 0.38735575],[6732  529],"Counter({0: 5797, 1: 1464})",386.0,5654.0,1078.0,143.0,0.7847739599935752
8,RandomUnderSampler,0.8721939126842033,[0.97233073 0.3213966 ],[0.88740345 0.67863894],[0.92792793 0.43620899],[6732  529],"Counter({0: 6144, 1: 1117})",359.0,5974.0,758.0,170.0,0.7830211938129207
9,ClusterCentroids,0.38465776063903045,[0.97245409 0.09516958],[0.34610814 0.87523629],[0.51051709 0.17167223],[6732  529],"Counter({1: 4865, 0: 2396})",463.0,2330.0,4402.0,66.0,0.6106722175609087
10,NearMiss,0.36234678418950556,[0.93429752 0.07643049],[0.33585859 0.69943289],[0.49409965 0.13780261],[6732  529],"Counter({1: 4841, 0: 2420})",370.0,2261.0,4471.0,159.0,0.5176457390540566
11,InstanceHardnessThreshold,0.801404765183859,[0.9678104 0.2159303],[0.81283422 0.65595463],[0.88357823 0.32490637],[6732  529],"Counter({0: 5654, 1: 1607})",347.0,5472.0,1260.0,182.0,0.7343944279894463
12,TomekLinks,0.9297617408070513,[0.96474455 0.51675485],[0.95929887 0.55387524],[0.962014   0.53467153],[6732  529],"Counter({0: 6694, 1: 567})",293.0,6458.0,274.0,236.0,0.7565870536792365
13,CondensedNearestNeighbour,0.9155763668916127,[0.96932045 0.44339623],[0.93865122 0.62192817],[0.95373934 0.5177026 ],[6732  529],"Counter({0: 6519, 1: 742})",329.0,6319.0,413.0,200.0,0.7802896922072948
14,AllKNN,0.9216361382729652,[0.96541308 0.46875   ],[0.94949495 0.56710775],[0.95738785 0.5132592 ],[6732  529],"Counter({0: 6621, 1: 640})",300.0,6392.0,340.0,229.0,0.7583013499837697
15,EditedNearestNeighbours,0.9231510811183032,[0.96533012 0.476874  ],[0.95127748 0.56521739],[0.95825228 0.51730104],[6732  529],"Counter({0: 6634, 1: 627})",299.0,6404.0,328.0,230.0,0.7582474359967966
16,RepeatedEditedNearestNeighbours,0.9198457512739292,[0.96562689 0.45966514],[0.94726679 0.57088847],[0.95635873 0.50927487],[6732  529],"Counter({0: 6604, 1: 657})",302.0,6377.0,355.0,227.0,0.7590776271555768
17,OneSidedSelection,0.9297617408070513,[0.96474455 0.51675485],[0.95929887 0.55387524],[0.962014   0.53467153],[6732  529],"Counter({0: 6694, 1: 567})",293.0,6458.0,274.0,236.0,0.7565870536792365
18,NeighbourhoodCleaningRule,0.9239774135793968,[0.96522132 0.48142165],[0.95231729 0.56332703],[0.95872589 0.51916376],[6732  529],"Counter({0: 6642, 1: 619})",298.0,6411.0,321.0,231.0,0.7578221613443452
19,SMOTEENN,0.808153146949456,[0.97542297 0.23754557],[0.81357695 0.73913043],[0.88717907 0.35954023],[6732  529],"Counter({0: 5615, 1: 1646})",391.0,5477.0,1255.0,138.0,0.7763536903562479
20,SMOTETomek,0.8193086351742185,[0.97493866 0.24823151],[0.82635175 0.72967864],[0.8945168  0.37044146],[6732  529],"Counter({0: 5706, 1: 1555})",386.0,5563.0,1169.0,143.0,0.77801519588187
