,method,accuracy,precision,recall,fscore,n_occurences,predictions_count,tp,tn,fp,fn,auc
0,ordinary,0.9444980030298857,[0.9557828  0.69811321],[0.98573975 0.41965974],[0.97053016 0.52420307],[6732  529],"Counter({0: 6943, 1: 318})",222,6636,96,307,0.7026997428976747
1,RandomOverSampler,0.8677868062250379,[0.96896328 0.30532972],[0.88576946 0.6389414 ],[0.92550054 0.41320293],[6732  529],"Counter({0: 6154, 1: 1107})",338.0,5963.0,769.0,191.0,0.7623554290823277
2,SMOTE,0.8102189781021898,[0.9718012  0.23251418],[0.81907308 0.69754253],[0.88892471 0.34877127],[6732  529],"Counter({0: 5674, 1: 1587})",369.0,5514.0,1218.0,160.0,0.7583078084301258
3,SMOTENC,0.8131111417160171,[0.97124321 0.23427471],[0.82278669 0.6899811 ],[0.89087254 0.34978438],[6732  529],"Counter({0: 5703, 1: 1558})",365.0,5539.0,1193.0,164.0,0.7563838934210335
4,BorderlineSMOTE,0.833631731166506,[0.97117025 0.25732666],[0.84566251 0.6805293 ],[0.90408131 0.37344398],[6732  529],"Counter({0: 5862, 1: 1399})",360.0,5693.0,1039.0,169.0,0.7630959039971604
5,SVMSMOTE,0.8502961024652251,[0.97080901 0.27962085],[0.86452763 0.66918715],[0.91459103 0.39442897],[6732  529],"Counter({0: 5995, 1: 1266})",354.0,5820.0,912.0,175.0,0.7668573873955837
6,KMeansSMOTE,0.8485057154661892,[0.9663796  0.26655765],[0.86675579 0.61625709],[0.91386061 0.37214612],[6732  529],"Counter({0: 6038, 1: 1223})",326.0,5835.0,897.0,203.0,0.7415064410366312
7,ADASYN,0.7829500068861038,[0.97250733 0.2099723 ],[0.78817588 0.71644612],[0.87069248 0.32476435],[6732  529],"Counter({0: 5456, 1: 1805})",379.0,5306.0,1426.0,150.0,0.7523110005874378
8,RandomUnderSampler,0.7337832254510398,[0.97299428 0.17915905],[0.7332145  0.74102079],[0.83625582 0.28855355],[6732  529],"Counter({0: 5073, 1: 2188})",392.0,4936.0,1796.0,137.0,0.7371176459356155
9,ClusterCentroids,0.5835284396088694,[0.96960486 0.12345306],[0.56862745 0.7731569 ],[0.71685393 0.21290994],[6732  529],"Counter({0: 3948, 1: 3313})",409.0,3828.0,2904.0,120.0,0.6708921753956781
10,NearMiss,0.3980168020933756,[0.97314629 0.09693663],[0.36066548 0.87334594],[0.52628156 0.17450425],[6732  529],"Counter({1: 4766, 0: 2495})",462.0,2428.0,4304.0,67.0,0.6170057070201627
11,InstanceHardnessThreshold,0.8965707202864619,[0.96675511 0.37002342],[0.92008318 0.5973535 ],[0.94284192 0.45697758],[6732  529],"Counter({0: 6407, 1: 854})",316.0,6194.0,538.0,213.0,0.7587183409767642
12,TomekLinks,0.9425698939540008,[0.95674816 0.66091954],[0.98247178 0.43478261],[0.96943936 0.52451539],[6732  529],"Counter({0: 6913, 1: 348})",230.0,6614.0,118.0,299.0,0.7086271926425379
13,CondensedNearestNeighbour,0.9217738603498141,[0.96234623 0.46722689],[0.95291147 0.52551985],[0.95760561 0.49466192],[6732  529],"Counter({0: 6666, 1: 595})",278.0,6415.0,317.0,251.0,0.7392156581943083
14,AllKNN,0.9213606941192674,[0.96163645 0.46428571],[0.95320856 0.51606805],[0.95740395 0.48880931],[6732  529],"Counter({0: 6673, 1: 588})",273.0,6417.0,315.0,256.0,0.7346383045398948
15,EditedNearestNeighbours,0.9275581875774687,[0.96052241 0.50286807],[0.96137849 0.49716446],[0.96095026 0.5       ],[6732  529],"Counter({0: 6738, 1: 523})",263.0,6472.0,260.0,266.0,0.7292714760189463
16,RepeatedEditedNearestNeighbours,0.9121333149703897,[0.96419866 0.42180775],[0.94013666 0.5557656 ],[0.95201564 0.47960848],[6732  529],"Counter({0: 6564, 1: 697})",294.0,6329.0,403.0,235.0,0.747951128094017
17,OneSidedSelection,0.9425698939540008,[0.95674816 0.66091954],[0.98247178 0.43478261],[0.96943936 0.52451539],[6732  529],"Counter({0: 6913, 1: 348})",230.0,6614.0,118.0,299.0,0.7086271926425379
18,NeighbourhoodCleaningRule,0.9308635174218427,[0.96093519 0.52683897],[0.96464646 0.50094518],[0.96278725 0.51356589],[6732  529],"Counter({0: 6758, 1: 503})",265.0,6494.0,238.0,264.0,0.7327958221152929
19,SMOTEENN,0.7390166643712988,[0.97375122 0.18320965],[0.73841355 0.74669187],[0.83990876 0.29422719],[6732  529],"Counter({0: 5105, 1: 2156})",395.0,4971.0,1761.0,134.0,0.7425527093463267
20,SMOTETomek,0.804710095028233,[0.97043201 0.22442653],[0.81417112 0.68431002],[0.88546042 0.33800187],[6732  529],"Counter({0: 5648, 1: 1613})",362.0,5481.0,1251.0,167.0,0.749240570949122
