,method,accuracy,precision,recall,fscore,n_occurences,predictions_count,tp,tn,fp,fn,auc
0,ordinary,0.9509709406417849,[0.95219858 0.90995261],[0.99717766 0.36294896],[0.97416921 0.51891892],[6732  529],"Counter({0: 7050, 1: 211})",192,6713,19,337,0.6800633096224111
1,class_weight,0.8029197080291971,[0.97069792 0.22331288],[0.81194296 0.68809074],[0.8842514  0.33719314],[6732  529],"Counter({0: 5631, 1: 1630})",364,5466,1266,165,0.7500168481209291
2,RandomOverSampler,0.8060873157967222,[0.97098372 0.22684897],[0.81521093 0.6899811 ],[0.88630491 0.3414406 ],[6732  529],"Counter({0: 5652, 1: 1609})",365.0,5488.0,1244.0,164.0,0.7525960146331547
3,SMOTE,0.8063627599504201,[0.97149433 0.22814631],[0.81506239 0.69565217],[0.88642973 0.34360411],[6732  529],"Counter({0: 5648, 1: 1613})",368.0,5487.0,1245.0,161.0,0.7553572812524219
4,SMOTENC,0.8038837625671396,[0.96940219 0.2215308 ],[0.81417112 0.67296786],[0.88503149 0.33333333],[6732  529],"Counter({0: 5654, 1: 1607})",356.0,5481.0,1251.0,173.0,0.7435694934443962
5,BorderlineSMOTE,0.7757884588899601,[0.97364514 0.2066204 ],[0.77926322 0.731569  ],[0.86567657 0.32223147],[6732  529],"Counter({0: 5388, 1: 1873})",387.0,5246.0,1486.0,142.0,0.755416109274666
6,SVMSMOTE,0.804710095028233,[0.97294411 0.22945831],[0.81194296 0.71266541],[0.88518219 0.34714549],[6732  529],"Counter({0: 5618, 1: 1643})",377.0,5466.0,1266.0,152.0,0.7623041827145018
7,KMeansSMOTE,0.8190331910205206,[0.97096662 0.23989397],[0.82961973 0.68431002],[0.89474527 0.35525025],[6732  529],"Counter({0: 5752, 1: 1509})",362.0,5585.0,1147.0,167.0,0.7569648727910709
8,ADASYN,0.7600881421291833,[0.97343454 0.19537921],[0.76203209 0.73534972],[0.85485752 0.30873016],[6732  529],"Counter({0: 5270, 1: 1991})",389.0,5130.0,1602.0,140.0,0.7486909010038111
9,RandomUnderSampler,0.7985126015700317,[0.97069859 0.21935096],[0.807041  0.6899811],[0.88133669 0.33287734],[6732  529],"Counter({0: 5597, 1: 1664})",365.0,5433.0,1299.0,164.0,0.7485110473128932
10,ClusterCentroids,0.6950833218564936,[0.97418136 0.16259511],[0.68939394 0.76748582],[0.80741127 0.26834104],[6732  529],"Counter({0: 4764, 1: 2497})",406.0,4641.0,2091.0,123.0,0.7284398808500888
11,NearMiss,0.5521278060873158,[0.97359826 0.1204349 ],[0.53134284 0.81663516],[0.68748799 0.20991254],[6732  529],"Counter({0: 3674, 1: 3587})",432.0,3577.0,3155.0,97.0,0.6739890004234494
12,InstanceHardnessThreshold,0.704723867235918,[0.97593361 0.16919295],[0.69875223 0.78071834],[0.81440443 0.27811448],[6732  529],"Counter({0: 4820, 1: 2441})",413.0,4704.0,2028.0,116.0,0.7397352823239625
13,TomekLinks,0.8056741495661754,[0.97163623 0.22777778],[0.81417112 0.69754253],[0.88596137 0.34341554],[6732  529],"Counter({0: 5641, 1: 1620})",369.0,5481.0,1251.0,160.0,0.7558568280379689
14,CondensedNearestNeighbour,0.8359730064729376,[0.96965587 0.25697504],[0.8496732  0.66162571],[0.90570818 0.37017451],[6732  529],"Counter({0: 5899, 1: 1362})",350.0,5720.0,1012.0,179.0,0.7556494557495336
15,AllKNN,0.7920396639581325,[0.97283593 0.21794135],[0.7979798  0.71644612],[0.87677493 0.33421517],[6732  529],"Counter({0: 5522, 1: 1739})",379.0,5372.0,1360.0,150.0,0.7572129613717515
16,EditedNearestNeighbours,0.7903869990359454,[0.97192029 0.21481907],[0.79693999 0.70699433],[0.87577538 0.32951542],[6732  529],"Counter({0: 5520, 1: 1741})",374.0,5365.0,1367.0,155.0,0.751967158519477
17,RepeatedEditedNearestNeighbours,0.7899738328053987,[0.97190502 0.21444954],[0.79649436 0.70699433],[0.87550004 0.32908051],[6732  529],"Counter({0: 5517, 1: 1744})",374.0,5362.0,1370.0,155.0,0.75174434212019
18,OneSidedSelection,0.8118716430243768,[0.971529   0.23360917],[0.8211527  0.69376181],[0.89003381 0.34952381],[6732  529],"Counter({0: 5690, 1: 1571})",367.0,5528.0,1204.0,162.0,0.7574572591252231
19,NeighbourhoodCleaningRule,0.8007161547996143,[0.97229669 0.2244898 ],[0.80808081 0.70699433],[0.8826154  0.34077449],[6732  529],"Counter({0: 5595, 1: 1666})",374.0,5440.0,1292.0,155.0,0.7575375685016518
20,SMOTEENN,0.789422944498003,[0.97308602 0.21623156],[0.79486037 0.72022684],[0.87498978 0.33260585],[6732  529],"Counter({0: 5499, 1: 1762})",381.0,5351.0,1381.0,148.0,0.7575436057449846
21,SMOTETomek,0.8015424872607079,[0.97131659 0.22330097],[0.80986334 0.69565217],[0.88327258 0.33807993],[6732  529],"Counter({0: 5613, 1: 1648})",368.0,5452.0,1280.0,161.0,0.7527577565940737
