,method,accuracy,precision,recall,fscore,n_occurences,predictions_count,tp,tn,fp,fn,auc
0,ordinary,0.9402286186475692,[0.93968165 0.97979798],[0.99970291 0.18336484],[0.9687635 0.3089172],[6732  529],"Counter({0: 7162, 1: 99})",97,6730,2,432,0.591533875393544
1,class_weight,0.8793554606803471,[0.96878002 0.32906404],[0.89884135 0.63137996],[0.93250116 0.43264249],[6732  529],"Counter({0: 6246, 1: 1015})",334,6051,681,195,0.7651106584582621
2,RandomOverSampler,0.8716430243768076,[0.96955959 0.31428571],[0.88948307 0.64461248],[0.92779672 0.42255266],[6732  529],"Counter({0: 6176, 1: 1085})",341.0,5988.0,744.0,188.0,0.7670477711620824
3,SMOTE,0.8602120919983474,[0.96945311 0.29266212],[0.8768568  0.64839319],[0.92083301 0.40329218],[6732  529],"Counter({0: 6089, 1: 1172})",343.0,5903.0,829.0,186.0,0.7626249990171929
4,SMOTENC,0.8659964192260019,[0.96905033 0.30213904],[0.88368984 0.64083176],[0.9244037  0.41066021],[6732  529],"Counter({0: 6139, 1: 1122})",339.0,5949.0,783.0,190.0,0.7622607988031096
5,BorderlineSMOTE,0.8160033053298443,[0.9720084  0.23883495],[0.82531194 0.69754253],[0.89267352 0.35583414],[6732  529],"Counter({0: 5716, 1: 1545})",369.0,5556.0,1176.0,160.0,0.7614272380201437
6,SVMSMOTE,0.8983611072854979,[0.96595149 0.37394451],[0.92290553 0.58601134],[0.94393801 0.45655376],[6732  529],"Counter({0: 6432, 1: 829})",310.0,6213.0,519.0,219.0,0.7544584340008559
7,KMeansSMOTE,0.8475416609282468,[0.96742563 0.26768489],[0.86467617 0.6294896 ],[0.91316966 0.37563452],[6732  529],"Counter({0: 6017, 1: 1244})",333.0,5821.0,911.0,196.0,0.7470828882621389
8,ADASYN,0.8019556534912546,[0.97267857 0.22636966],[0.80912062 0.71077505],[0.8833928 0.343379 ],[6732  529],"Counter({0: 5600, 1: 1661})",376.0,5447.0,1285.0,153.0,0.7599478326015633
9,RandomUnderSampler,0.8741220217600881,[0.96174603 0.29968783],[0.90002971 0.54442344],[0.92986495 0.38657718],[6732  529],"Counter({0: 6300, 1: 961})",288.0,6059.0,673.0,241.0,0.7222265746534622
10,ClusterCentroids,0.29927007299270075,[0.96335964 0.08456351],[0.25386215 0.87712665],[0.401834   0.15425532],[6732  529],"Counter({1: 5487, 0: 1774})",464.0,1709.0,5023.0,65.0,0.5654944024926233
11,NearMiss,0.4522793003718496,[0.95870796 0.09511508],[0.42765894 0.76559546],[0.59147406 0.16920827],[6732  529],"Counter({1: 4258, 0: 3003})",405.0,2879.0,3853.0,124.0,0.5966272027514105
12,InstanceHardnessThreshold,0.791213331497039,[0.97075812 0.21324811],[0.79887106 0.69376181],[0.87646675 0.32622222],[6732  529],"Counter({0: 5540, 1: 1721})",367.0,5378.0,1354.0,162.0,0.7463164391608738
13,TomekLinks,0.8783914061424046,[0.9688953  0.32714844],[0.897653   0.63327032],[0.93191457 0.43142305],[6732  529],"Counter({0: 6237, 1: 1024})",335.0,6043.0,689.0,194.0,0.7654616609776178
14,CondensedNearestNeighbour,0.9325161823440298,[0.95991748 0.54105263],[0.96761735 0.48582231],[0.96375203 0.51195219],[6732  529],"Counter({0: 6786, 1: 475})",257.0,6514.0,218.0,272.0,0.7267198281042382
15,AllKNN,0.8701280815314695,[0.96874494 0.30939227],[0.8885918  0.63516068],[0.92693887 0.41609907],[6732  529],"Counter({0: 6175, 1: 1086})",336.0,5982.0,750.0,193.0,0.7618762404429034
16,EditedNearestNeighbours,0.870954413992563,[0.96907884 0.31180812],[0.88918598 0.6389414 ],[0.92741498 0.41909485],[6732  529],"Counter({0: 6177, 1: 1084})",338.0,5986.0,746.0,191.0,0.7640636881435281
17,RepeatedEditedNearestNeighbours,0.8635174218427214,[0.96895932 0.29736842],[0.88101604 0.64083176],[0.92289738 0.40623128],[6732  529],"Counter({0: 6121, 1: 1140})",339.0,5931.0,801.0,190.0,0.7609239004073876
18,OneSidedSelection,0.8783914061424046,[0.9688953  0.32714844],[0.897653   0.63327032],[0.93191457 0.43142305],[6732  529],"Counter({0: 6237, 1: 1024})",335.0,6043.0,689.0,194.0,0.7654616609776178
19,NeighbourhoodCleaningRule,0.8708166919157141,[0.96922579 0.31186753],[0.88888889 0.64083176],[0.92732063 0.41955446],[6732  529],"Counter({0: 6174, 1: 1087})",339.0,5984.0,748.0,190.0,0.7648603234614577
20,SMOTEENN,0.8367993389340311,[0.97160347 0.26231884],[0.84878194 0.68431002],[0.90604931 0.37925616],[6732  529],"Counter({0: 5881, 1: 1380})",362.0,5714.0,1018.0,167.0,0.7665459779604114
21,SMOTETomek,0.8586971491530092,[0.96970695 0.29064869],[0.87492573 0.65217391],[0.91988131 0.4020979 ],[6732  529],"Counter({0: 6074, 1: 1187})",345.0,5890.0,842.0,184.0,0.7635498204551914
